Original_Comment,Predicted_Sentiment
sorry hardik and suray,negative
ye match bcci and jay shah ne fix kiya tha last sky ka catch fake tha boundary line peeche thi unko ye proof karna hai ki hum panauti nahi hai aur bcci ko acche se chala rahe hai,neutral
sorry suryahardik,negative
sorry hartik bhai and happy retirement roko legend,positive
pandya bumrah broke the probability math,negative
well played team india keep it up,positive
sorry hardik badhiya khela,negative
end of golden era of roko,neutral
mba chaiwala memers bro please help for make him chinese and usa president and financial minister,neutral
axar patel pit gaya yaar,neutral
i still remember how pahul made a sad edit and attached in the video after the loss against australia and how sad he maybe at that time but now he must be very very happy while editing the video which he attached at the end of this video feel you pahul jai hind our boys did it lehra do,positive
lehra doh,neutral
maine toh surya aur hardik ko troll he nhi kiya toh m kyu sorry bolu,negative
hardik pandya is god gift allaround,positive
arshdeep dil of the tournament,positive
sorry hardik as well as surya,neutral
mission champions trophy and world test championship,neutral
we want tanay pahul and deadman collaborationplz,neutral
sorry hardik and sky sorry dube you are our,neutral
happy retirement for virat rohit and jadaja,positive
jadeja also take retirement,neutral
bro jadeja me retirement le liya,neutral
sorry kunfu pandya and sky,negative
bhai us time me train me tha or kya hi hala hua bhai budhii orate dar gyi thi,neutral
whole team india champions but especially hardik his comeback,positive
jaddu bhai also retired,neutral
i miss you rohit virat,positive
please dont forget jadeja i he is also retired,neutral
bhai script ni hota yrr mtlb tum team ke efforts ko script bol rhe ho,neutral
a one more retirement sir ravindra jadeja,neutral
who remember suryas catch,neutral
op hardik,neutral
finally we win a trophy and a important match in richards umpiring,positive
bro forgot jadeja,neutral
mene kabhi pandya ya fir kisi bhi indian player ko troll na katne ka gammand hai,neutral
sorry hardikk,negative
hardik pandya ko chapri mat bolo,neutral
last is best,positive
in the battle of chokers the real chokers lost,negative
sorry hardik unlimited love for u bhai,positive
happy retirement jaddu,positive
choker always chokeryou all cheated,negative
end was epic,positive
sab virat kohli aur rohit sharma ki retirement ki baat kar rahe hain koi bhi ravindra jadeja ki retirement ki baat nahin kar raha haimana bande ne iss world cup me acha perform nahin kiya per woh bhi to socho jo uss ne pehle kiya haimana virat aur rohit ne bahut tough situations me match jitaya hai lekin jadeja bhi unse pichhe nahin hai,neutral
happy retirement rock star,positive
ipl ka kaamal hai,neutral
kaise mc ho bhai tu its people like you who promoted hate towards hardik pandya and now you are asking people to ask apologies infact its you who should be actually making a full length apologies video,negative
end of any era virat kohli rohit sharma ravindra jadeja,neutral
aim for champions trophy,neutral
mene to pandya ko kabhi troll kiya hee nahi,neutral
sorry hardik and surya i am a kattar mumbai fan and rohit also,neutral
yar me rone lag lga tha about virat and rohit retirement love from pakistan,neutral
underated arshdeep singh,neutral
jadeja also,neutral
thanks dravidkohlirohit and jaddu,positive
ravindra jadeja ne retirement le liya,neutral
sorry hardil and sky,negative
sorry shivam bhai too,neutral
definitely no babar and shaheen were harmed during the editing of this video,neutral
ipl award video pahul bhai kab aayega,neutral
papa world cup jeetgaye,neutral
bhai jo mere team thi bo hi india team ki thi,neutral
dil se india,neutral
sorry sky sorry kungfu panda,negative
sorry sky because i didnt troll pandya,negative
bass agle saal wtc cup ajai,neutral
hamare jamnagar me sab bharat mata ki jay bol rahe the,neutral
vai me to rcb fan hu par bhai me ipl me kabhi hardik ko hatw mhi kya,neutral
thank you for everything,positive
kettleborough wala curse over,negative
jadu na vhi retriment la liya,neutral
jaddu ka bi retirement most needed,neutral
may to kabhi hat nhi kiya,neutral
sorry shivam,negative
richard kettlebrough,neutral
ab kon roko ga,neutral
india win kya baat hai jab sabke video dekh chuke hain ab tumhara last mein kyon dekhen kitna let video banate ho kab ki jiti chuki hai team indiaab sbhi ki video mein se contact uthaoge,neutral
guys dont miss the end part,neutral
bhai maja agya,neutral
greatest death over bowlers bumrah and arshdeep,positive
soory,neutral
bhai last clip dekh ke toh rona aagaya,neutral
anyone pls explain mae side hat jate hue meme context,neutral
roko ko koi roko retirement se,neutral
but unhappy for retirement of ro ko,negative
i love kohli and rohit and will miss them both in my and of course appreciation to whole team even sanju and chahal even when the y played no match but maintained a nice environment for team and provided stability to team,positive
jaddu also retire,neutral
hello surya hatters,neutral
i love my india but please dont troll south africa because they did there best so please respect all players,positive
arshdeep mad respect bahi,positive
jaha matter bara hota ha bhaha king kholi khara hota ha,neutral
bhai meri to gaano me,neutral
sorry hardik my dad was criticizing about hardik from ipl till final but i was only mad in ipl not but not in wc sorry hardik and wish you goodluck in next wc,neutral
end of golden area,neutral
hardik ko kabhi troll na karne ka ghamand hai,neutral
last scene,neutral
i am paistani but congrutulation indian god bless u,positive
god surya,neutral
kettleboruogh ka curse toota,negative
bhi ham log to cahala ko lakar gaye tha na to uski photo khana,neutral
i am hadik fan,positive
ravindra jadeja retired hoga gaya,neutral
sorry hardik bhai clutch god,neutral
happy retirement rohit virat and jadeja,positive
acha khelgaye sa klassen ne toh nil phool lal phool surya bhau aur virat bhau beautiful,positive
sorry hardik sorry hardik sorry hardik sorry hardik sorry hardik sorry hardik sorry hardik sorry hardik sorry hardik sorry hardik sorry hardik sorry hardik sorry hardik sorry hardik sorry hardik sorry hardik sorry hardik sorry hardik sorry hardik sorry hardik sorry hardik sorry hardik sorry hardik sorry hardik sorry hardik sorry hardik sorry hardik sorry hardik sorry hardik sorry hardik sorry hardik sorry hardik sorry hardik sorry hardik sorry hardik sorry hardik sorry hardik sorry hardik sorry hardik sorry hardik sorry hardik sorry hardik sorry hardik sorry hardik sorry hardik sorry hardik sorry hardik sorry hardik sorry hardik sorry hardik sorry hardik sorry hardik sorry hardik sorry hardik sorry hardik sorry hardik sorry hardik sorry hardik sorry hardik sorry hardik sorry hardik sorry hardik sorry hardik sorry hardik sorry hardik sorry hardik sorry hardik sorry hardik sorry hardik sorry hardik sorry hardik sorry hardik sorry hardik sorry hardik sorry hardik sorry hardik sorry hardik sorry hardik sorry hardik sorry hardik sorry hardik sorry hardik sorry hardik sorry hardik sorry hardik sorry hardik sorry hardik sorry hardik sorry hardik sorry hardik sorry hardik sorry hardik sorry hardik sorry hardik sorry hardik sorry hardik sorry hardik sorry hardik sorry hardik sorry hardik sorry hardik sorry hardik sorry hardik sorry hardik sorry hardik sorry hardik sorry hardik sorry hardik sorry hardik sorry hardik sorry hardik sorry hardik sorry hardik sorry hardik sorry hardik sorry hardik sorry hardik sorry hardik sorry hardik sorry hardik sorry hardik sorry hardik sorry hardik sorry hardik sorry hardik sorry hardik sorry hardik sorry hardik sorry hardik sorry hardik sorry hardik sorry hardik sorry hardik sorry hardik sorry hardik sorry hardik sorry hardik sorry hardik sorry hardik sorry hardik sorry hardik sorry hardik sorry hardik sorry hardik sorry hardik sorry hardik sorry hardik sorry hardik sorry hardik sorry hardik sorry hardik sorry hardik sorry hardik sorry hardik sorry hardik sorry hardik sorry hardik sorry hardik sorry hardik sorry hardik sorry hardik sorry hardik sorry hardik sorry hardik sorry hardik sorry hardik sorry hardik sorry hardik sorry hardik sorry hardik sorry hardik sorry hardik sorry hardik sorry hardik sorry hardik sorry hardik sorry hardik sorry hardik sorry hardik sorry hardik sorry hardik sorry hardik sorry hardik sorry hardik sorry hardik sorry hardik sorry hardik sorry hardik sorry hardik sorry hardik sorry hardik sorry hardik sorry hardik sorry hardik sorry hardik sorry hardik sorry hardik sorry hardik sorry hardik sorry hardik sorry hardik sorry hardik sorry hardik sorry hardik sorry hardik sorry hardik sorry hardik sorry hardik sorry hardik sorry hardik sorry hardik sorry hardik sorry hardik sorry hardik sorry hardik sorry hardik sorry hardik sorry hardik sorry hardik sorry hardik sorry hardik sorry hardik sorry hardik sorry hardik sorry hardik sorry hardik sorry hardik sorry hardik sorry hardik sorry hardik sorry hardik sorry hardik sorry hardik sorry hardik sorry hardik sorry hardik sorry hardik sorry hardik sorry hardik sorry hardik sorry hardik sorry hardik sorry hardik sorry hardik sorry hardik sorry hardik sorry hardik sorry hardik sorry hardik sorry hardik sorry hardik sorry hardik sorry hardik sorry hardik sorry hardik sorry hardik sorry hardik sorry hardik sorry hardik sorry hardik sorry hardik sorry hardik sorry hardik sorry hardik sorry hardik sorry hardik sorry hardik sorry hardik sorry hardik sorry hardik sorry hardik sorry hardik sorry hardik sorry hardik sorry hardik sorry hardik sorry hardik sorry hardik sorry hardik sorry hardik sorry hardik sorry hardik sorry hardik sorry hardik sorry hardik sorry hardik sorry hardik sorry hardik,negative
sir pahulwalia man world cup won keya abey women ki barey hai video bano sir women team na record bane deya hai sir,neutral
axar bapu,neutral
cheating sa gita,negative
i swear i didnt troll pandya my fav all rounder,neutral
iam pakistani but i respect india for their win love from pak,positive
bhai roko ka alawa jaddu bhi retirement le liya hai,neutral
india winners fixers south africa losers chockers,negative
hitman super hero,positive
but rohirat retirement,neutral
i u make video on ro ko plzz mention jaddu paa also,neutral
virat ipl trophy jitkar picture kab aayega,neutral
goti nai hota mume tha,neutral
koi to roko inhe,neutral
third umpire was richard kettlebhourough,neutral
pahul bhai virat sir se mafi maago,neutral
guys you tube pe ek naya song aaya hain baarish hoti hain please do watch it,neutral
bahi jadeja bhi,neutral
man of the match goes to mba chaiwala lol,neutral
hardik to mai hu,neutral
praful bilore bhai tum austrelia ko kyu support nai kiye,neutral
champions trophy abhi baaki hai,neutral
sorryhardik and sky,neutral
khusi jaher nahi ho rahe proud to be a indian,positive
everyone talking about kohli and rohit retirement no one talking about jadeja retirement,neutral
sorry kungfu pandya surya bhau and shivam dube,negative
the catch of suriya is unexpected tremendous catch under pressure of millar well done team india,positive
happy retirement to virat rohit and jadeja,positive
happy retirement rohit and virat we all miss you in the field,positive
sorry hardik pandaya,negative
hardik ko bad time me bhi support krne ka ghamand hai,neutral
we won yayyyayayaya,positive
bro you know why did india beat south africa because south africa green and yellow colour pakistan and australia,neutral
i supported always kunfu pandy,positive
finnaly video agya,neutral
sale cht tune bhi ipl me hardik bhai ko troll kiya tha or ab uski side h kyuki usne apne gameplay se tere jaise ghado ko silence kr diya sharam karo bhgwan se dro,neutral
shivam dube best,positive
wtc jeet jaye to kohli completes all,neutral
sorry hardik bhai ek ganda form aapko kabhi nhi badal sakta,neutral
happy retirement to roko jaddu,positive
oppp india won,positive
sorry hardik i will not do it now and dube,negative
best hardik,positive
everybody is taking about hardik bomraharshdip but no one is taking about the captain ship of rohit sharma,neutral
hehe,positive
classan or decoc out nahi ho te to hit jate,neutral
rohit virat jadeja thank,neutral
sorry hardik sorry sky sorry dube,negative
bhai you miss jadeja he is also retired,neutral
sorry hardik bhai mi fan,neutral
sorry dude bhai,negative
kon bol raha tha ki shivam dube hardik se accha kelta hai,neutral
now no aoge tum kabhi but now lehra do,neutral
jadeja bhi gya,neutral
bhai ekdm ksm khake keh rha mene apne sare dosto ko ghum ghum ke bola tha ki ajj kohli marega or kya hua wo to sabko pta hee hai,neutral
sorry hardik bhai ham logo ko tum pe vishvash nahi tha,neutral
hardik pandya redemption ark,neutral
indian player thank you very much,positive
sorry sibam dube,negative
happy retirement to roko and jaddu truly the end of a great era,positive
thank you rokojaddu for everything happy retirement,positive
me rohit fan but respect hardik,neutral
all player indians love you bhai,positive
rohit sharma deserves atleast one odi wc,neutral
ravindra jadeja announce his retirement love u jadeja,positive
i love you surya bhai,positive
i am sad that rohith retired and happy that kholi reitred,neutral
jadeja rohit kohli all retired,neutral
sorry hardik bhai i love you hardik bhai,positive
the last clip,neutral
happy retirement ment ro ko,positive
sorry ha,negative
hardik bhai ke samne koi bol sagta hai kya,neutral
they deserved it love from bd,positive
happy retirement to rokojaddu,positive
ipl ke bases pe kisi bhi player ko hate nhi kiya yhi ghamnd hai life me,negative
tournament start hone se pehle indian jersey achih naa bol tha uske liye bi sorry bolo pahul bhau,neutral
jaddu had taken retirement today,neutral
ro ko jaddu happy retirement,positive
sorry sundya,negative
de hein,neutral
sorry king virat sorry hardik the goat sorry shivam dube thanks boomboom bumrah thanks roko thanks hardu,neutral
happy retirement brokojaddub truly end of an era,positive
hardik bro is pro,positive
the best line i heard quotbappu nahi daddy boloquot,positive
sorry hardik and suriya,negative
jaddu announced retirement,neutral
sorry hardin bhai,negative
bro forget jadeja retirement,negative
best cricket year for me kkr winning ipl india winning world cup,positive
bro last scene was epic,positive
first the kapilgavaskar era then tendulkardhoni era then the rohitkohli era next one will probably be the suryakumarpandya era what do the others think,neutral
sorry pandya bro,negative
richard bhai ki panoti nahi lagi iss bar,neutral
jaddu is also retirement,neutral
roko ko retirement se roko,neutral
kya tum aur tanay bhai bhai ho,neutral
sorry hardik bhaai,negative
ha mota bhai,neutral
lehra dooooooooooo proud of our boysssss,positive
congratulations brothers from bangladesh,positive
so why injustice with sanju,neutral
last seen is personal,neutral
sorry surya sorry hardiksorry shivam dube,neutral
hardik bhi,neutral
miss you jadu bating and bowling,neutral
jaddu bhai retirement le liya,neutral
sorry surya putra karna karna,negative
pandya the lord,positive
sorry hardik though i didnt trolled muchi supported himbut definately sorry surya,neutral
ravindra jadeja also took retirement,neutral
sorry hardik editsorry darling sorry darling,negative
hardik pandya fire aur roko i love you,positive
bhai jadeja bhi chal diye,neutral
surya na hota to game gya tha,neutral
we do it for dravid,neutral
surya ka catch not out hezoom karke dekho noobs,neutral
bas ab wtc jeet jayega to virat kohli ke sath har trophy aa jayega,neutral
god plans baby,positive
who missed the ending is really missing something funny,negative
sorry hardiksorry hardiksorry hardiksorry hardiksorry hardiksorry hardiksorry hardiksorry hardik,negative
sorry hardik kunfu pandya sorry surya chamatkar yadav,neutral
virat aur rohit ke liye ek alg se dedicated video aana chahiye jo jo agree krte hai like kare,neutral
finally got out from depression,positive
gods plan mota bhai script ing,neutral
rohit eating pitch,neutral
roko retired end of an era,negative
who will be next indian captain for all format please reply,neutral
sorry hardik bhai the next captain,neutral
sorry sky and kung ku pandya,neutral
dont forget axar,neutral
sorry hardik love you hardik,positive
like for sky hardik and bumrah,neutral
sorry darling sorry darling,negative
sorry all players,neutral
kumfu pandya is back,neutral
jadeja retirment,neutral
mera bharat mahar h re,neutral
happy retirement to roko rahul dravid and jaddu they deserve this,positive
sorry hardik well played,neutral
team india jindabad,neutral
sorry hardikk yrr,negative
bhai axar patel,neutral
saree moye moye meme delete,neutral
no one is talking about jaddu retirement,neutral
rohit and kohli retirement end of a era,neutral
soryy hardiksurya editsorry dubr,neutral
yarr kassh india har jati kyou ka pakistan ko hamesha troll karte ha video ka end ma sach ma dil se bura lagta hai,negative
jadeja also retries,neutral
happy retirement my legends kohli and rohit,positive
sorry ku fu pandya,negative
king kohli power,positive
bro who his new head coachpahulwalhia,neutral
bapu tha toh chod diya jaddu hota toh pela jata,neutral
congratulations to all indian fans,positive
kon sabse bada choker h uski jung chal rahi thi,neutral
thankyou roko,positive
ma kasam jisne like nhi kiya wo exam me fail,negative
the last part was personal,neutral
hardik ko captain banao,neutral
sorry hardik bhai galti se mistake ho gyi,neutral
sorry hardik i am a mumbai indians fan,neutral
sorry sky dube and hardik,neutral
ro ko and jadeja also retired,neutral
golden era finish roko and sir jadeja retired,neutral
hum jeet gaya congratulations bhai salute indian cricket team,positive
im a mumbai fan and i will not say sorry because i supported him in his bad phase,negative
sorry hardikand surya,negative
bangladashi fans wo catch six tha,neutral
pahul walia please tell natasa stankovic that she is an idiot and ritika the wife of rohit sharma is excellent hardik deserves to get a wife like ritika sajdeh,negative
hardik bhai ko troll na karne ka ghamand hai,neutral
mene bhi chota sa edit kiya h dekh ke ashu aa jayega,neutral
jaddu aslo,neutral
sorry hardik bhai for trolling,negative
soryy,negative
australia ko kyu bol raha hai qki unke pass sabse jyada icc trophies hai the champions in fact sablok champion team ko hi chidate hai respect them,neutral
ab bas ipl awards ka wait hai,neutral
jadeja had also retired,neutral
jadega also retired hardik pandya next level game changer pressure hits hardik pandya delivers,positive
jaddu bi he didnt perform well in this wc but he is a great person,positive
sorry hardik sorry surya bhau mujhe maaf kardo mere muh se nikal gai meli jaban tut gai,negative
arshdeep did not get enough respect but arshdeep i respect you,positive
sorry hardik bhaichapri toh nhi bulaya kabhi par mumbai ke captain ho woh accept bhi nhi kiya tha par ab lagta hai deserving ho aap,neutral
happy retirement rokojaddu,positive
just now juddu also announced retirement,neutral
mehnat se jeete tukke se jeete,neutral
sorry hardik sorry surya sorry dubey,negative
hum v bana lange suriya,neutral
rohit kholi ka bad ab jadeja,negative
khara hua he aaj bhi,neutral
waiting for ipl awards video,neutral
rohirat ke sath jaddu ka bhi retire ho rahe hai,neutral
the great era of roko have came to a great ending very happy to watch both of them together lifting the world cup,positive
even jaddu retire,neutral
sorry hardhitting pandiya,negative
happy retirement jadeja kohli rohit,positive
enjoy the roare,positive
panch ipl trophy wale captain bahut kuchh kar chuke hain,neutral
yuvraj singh also,neutral
i will not write sorry hardik cuz i supported him at ipl,neutral
yes we did it guys but ek kharab world cup jaddu ka or log sab jaddu ka pehle ka contribution bhool gaye sab and now sab jaddu troll kare hai really very disappointing,negative
sorry har dik,negative
sorry hardik love from mii love you surya always,positive
can anyone explain me the trend of anushka bhabi side hat jao or sanjana bhabhi hat jao,neutral
no sorry to hardik because i have never said him one word,negative
sorry hirdik,negative
see axars bowls and runs does it seems familiar,neutral
sir ravindra jadeja ji ne bhi retirement announce kardiya,neutral
sorry hardiknd sorry surya,neutral
happy retirement for jaddu,positive
sorry hardik kumar dube,negative
jadu also retirement broo,neutral
but roko retirement maid me cry,negative
sorry hardik we love you,positive
underrated arshdeep singh,negative
who all wanted virat and rohit all awards video,neutral
roko one last time like for their happy retirement,positive
jadeja vi leli retirement,neutral
ye side hato bhabhi ka context kya hai koi batao yr,neutral
jaddu legaa retirement,neutral
sorry hardik we love you we will always support you,positive
pahul bhai iss wc mai aapka channel to bade teji se grow kr ra h,neutral
like if relate if india lost match then fans virat play slowly badapav ko hatao surya is minnow basher rishabh is over hyped shivam should replace by rinku but,neutral
sorry hardik and sorry surya sorry duba i am a rcb supporter,neutral
that ending,negative
sorry hardik vaise maine toh nhi troll kya tha,neutral
happy retirement virat kohli rohit sharma ravindra jadeja,positive
are bhai rohit kohli ki baat jadeja ne bhi sanyas le liya,neutral
sorry hardik pandya ji you are irreplaceable,positive
pahul video dekhne bad par tu kyu khus ho raha he tera life to jhand he india wc jitne pr tera ghar nehi chalega,negative
we apologise to you pandya,negative
praful bilhore,neutral
bhai jadeja ne bhi retirement announce kar di,neutral
abhi kohli aur rohit next year wtc bhi jitne wale h,neutral
sorry kung fu pandya sorry surya dada,negative
finally that umpire panoti is not more,neutral
na vai hardik pandya jeda deserve karta hai man of the tournament,neutral
team india be like le moot diya tere win predictor pe from jokes apart thank u team india thank u specially rohirat for everything,positive
sorryhardik bhai,negative
sorry hardik and suryakumar,negative
respect button for prafull billore,neutral
no dhoni no kohli no rohitcan we watch cricket,neutral
bhai rohit ne pitch ka miti mud khaya thya,neutral
happy retirement to roko and jaddu,positive
treasure ka spelling sikh le,neutral
jadeja tok retired,neutral
jadeja ne bhi retirement leli he aj hi,neutral
happy retirement rohit sharma virat kohli and ravindra jadeja,positive
pure lifetime mai ek bhi baar kungfu pandya ko hate nai kiya bas iss baat ka ghamand hai,negative
surya namaskaram lehraaa dooo jai hind vande mataram,neutral
sorry pandya and surya,neutral
ravindra jadeja also retiremen,neutral
maan gye bhai apko bhi pahul bhai,neutral
i was waiting for your video since morning,neutral
sorry hardik for teasing,negative
soory hardik soory surya,neutral
jadeja too retired but nobody is talking about him,neutral
we are blessed by god that we got to two legends playing their last game,positive
happy retirement of sir ravindra jadeja,positive
sorry dubey sorry dubey sorry dubey sorry dubey sorry dubey sorry dubey sorry dubey sorry dubey sorry dubey sorry dubey,negative
last was unexpected,neutral
sorry surya sorry surya sorry surya sorry surya sorry surya sorry surya sorry surya sorry surya sorry surya sorry surya,negative
sorry hardik and sorry suriya,neutral
sorry hardik as a rohit fan,negative
sorry hardik sorry hardik sorry hardik sorry hardik sorry hardik sorry hardik sorry hardik sorry hardik sorry hardik sorry hardik sorry hardik sorry hardik sorry hardik sorry hardik sorry hardik sorry hardik sorry hardik sorry hardik sorry hardik,negative
i never troll hardik but sorry,negative
shivam dube se maafi manglo bhai,neutral
rohit sharma ji ne daal di story wc ke sath sote hue,neutral
hardik lo muuut dia trollersipl kids pe,neutral
kohli is the messi of cricket from bangladesh,positive
eakach wada surya dada,neutral
pahul in league matches on dube pahul in final on dube,neutral
sorry hardeek,negative
bhai rohit aur kohli sirf teen matches me chale vo bhi sirf important matches me,neutral
riyan parag kaha ha bhai,neutral
bhai south africa ne choke kiya nhi hai karwaya hai india ne we still had little hope knowing bumrah arshdeep gonna bowl hardiks over was cherry on top,neutral
sorry hardik sorry hardik sorry hardik,negative
we proud you team india,positive
maine kabhivi hardik ko troll nahi kiya,neutral
rohit king kohli sir jadeja,positive
meh toh sacme hardik ka fan hu sach bol raha hu bhai,neutral
jaatu retirement ho gya,neutral
last clip was epic,positive
jitni baat virat ki ki thora rohit ki b kar lete,neutral
jadjea also take retirement,neutral
happy retirement to ro ko and sir jadeja,positive
sorry happy,positive
people like me who noticed that treasure spelling is wrong,negative
sarcb,neutral
pahul bhai mera aaj birthday hai,neutral
but this man abuse shivam dubey on you tube post respect for whole cricket team shivam dubey virat kholi axar played batting very well shivam dubey also played match winning performance,neutral
bhai tu kitna dogla h,neutral
sorry bhai,negative
who here after jadega also announced his retirement,neutral
lekin third umpire to richard kettlebrough tha na hum jeet kaise gai,neutral
respect bottom for hardik pandya,neutral
who watched the last quotpapa world cup jeet gaequot,neutral
sorry hardik but you are outstanding,positive
what a game love from nepal,positive
for mba chai wala,neutral
still missing one trophy and that is wtc,negative
finally booyah enjoy the victory,positive
mai bhi sochh raha tha aap mere king ki bat kab karoge bhai love you bro,positive
sweet memories till next icc event,positive
inshallah india aur kabhi bhi world cup final nahi kelenga,neutral
sorry hardikk bhaiii,neutral
jadeja has taken retirement,neutral
bharat ratna for bumrah de do,neutral
all play best,positive
bro they took retirement because of gautam gambhir,negative
ahh,neutral
soory surya bhau,neutral
hardik deserved player of the tournament he contributed with bat and ball in this tournament but happy for bumrah,positive
rokojaddu golden era we lost three diamond,negative
soory hardik bhai,neutral
champions trophy vi jitenge,neutral
sorry harsik,negative
the most awaited video,positive
its sad see team without ro ko bt,negative
thank you for everything rohitkohli,positive
happy retire rohit virat n jadeja,positive
feel sad for south africa,negative
sorry hardik the king sorrysurya bhau sorrydube the lord very good team india,positive
thanks for saying about miya bhai siraj,positive
jadeja bhi retirement le raha hai,neutral
once a lord said gods plan,neutral
niccker auction gang,neutral
im pakistani but im because india win,positive
jaddu is also retired,neutral
sir ravindra jadeja took retirement also,neutral
jaddu has also take the retirement,neutral
happy retirement to hit man and king kohli,positive
abhi virat ko test world cup jeetna baki ha,neutral
sory hardik,neutral
sorry hardik bhaiiiiii,neutral
rohit sharma also deserve odi world cup,neutral
ravindra jadeja retire,neutral
axar is legend genius handsome brave selfless humble,positive
kon kon pahul ko apna manta hai,neutral
not gods plan bookies plan,neutral
india gg in the chat,neutral
bhai aap memes kaha se laite ho please reply,neutral
bhai award video kab aaegi,neutral
happy retirement day king happy retirement rohit,positive
happy retirement roko the end of an golden era,positive
sorry hardik bhai sorry surya bhai,neutral
bhaiiii jadeja ne bhi retirement le lii,neutral
billoregtgtgtkettleborough,neutral
this will age well,positive
sorry hardik sorry surya dada,negative
bhai jaddu ne bhi kar di,neutral
rohit ki batting ne australia ko bahar kiya world cup se england ko bahar kiya england ke sath jab match tha to england ki team ne jitna score banaya usse aadha to sirf hamare captain ne banaya tha rohit sharma ke alava world cup mein koi dusra captain nahin hai jismein itne ran mare ho india ko world cup jitaane mein rohit sharma ka sabse bada yogdan hai rohit sharma ka ka jo intent hai usne world cup jitaya hai australia jaisi team ko agar india ne nahin haraya hota to wo finals mein bharat ke sath hoti kyunki unko south africa choker ko harane mein jyada mehnat nahin karni hoti knock out mein australia kaisi khelti hai sabko pata hai jab australia hara tha aadha world cup india ne jeet liya tha rohit sharma is one of the best captain after legend dhoni aur world cup jitna hai to bakiyon ko bhi to perform karna hoga isliye hi baki player ne bhi achcha perform kiya ek player ek match jita sakta hai do match jita sakta hai per ek acchi team world cup jitati hai,neutral
mota bhai ke liye ek like,neutral
sorry hadik,negative
sorry hadik bhai,negative
kal mujhe dube ne naga nach nese bacha liya strem pe,neutral
sir jadeja also gets retired,neutral
sorry hardik sorry suraya,negative
sorry hardik and surrya,negative
ravindra jadeja also retires,neutral
sorry hardik fraud dube,negative
sorry hardik and,negative
bhai jaddu ne bhi le liya,neutral
mithun ka kya hua hai tum corporate play,neutral
love from pakistan congratulations ict fans,positive
roko ko miss karunga,neutral
bhai maine nahi bola tha,neutral
bhai kholi ne test championship nahi jiti hai completed cricket khene k liye,neutral
sorry pandaya bhai,negative
sorry hardik pandya aap ka ipl ka fom dekh ke aap ko troll kar raha tha but aap na comeback kiya or aur dikha diya world ko this is hardik pandyas come back aur ek bar bolna chata hu sorry hardik pandya lam mumbai lndian s fan,negative
last meme is too much funny,positive
one thing when virat or rohit perform a different energy come in the game,neutral
we keep the trophy in our heartsand they aussis keep it below their legs,neutral
sorry hardik pandey,negative
pooja path reh rhi hai trophy ki abhi india mai,neutral
sorry hardik bhai love from assam,neutral
happy retirement to ro ko,positive
catches win matches surya kumar yadav,neutral
mai sorry kyu bolu mai yo sab ko support karta tha chahe kuch bhi ho pata nahi bas captains badalne mai itni hate accha huwa mai rcb fan hu most loyal,neutral
chigam dube,neutral
bhai sky ka catch ap dekho us ne galat catch liya,neutral
sorryhardik and suriya bros,neutral
sorry hardhik sorry surya,negative
winner winner chicken dinner with zero kills was the greatest joke of the video,negative
please like me,positive
only wtc is left for king kohli,neutral
finally we won the cup love you guys,positive
happy retirement ro ko end of golden era,positive
jaddu bhi retire ho gya,neutral
rohit is goat captain after the dhoni the real sucseeor,positive
sorry hardik bhai sorry sky bhai,neutral
respect for hardik and surya,neutral
sorry dubehardik and surya,negative
sorry hardik and surya sorry please,neutral
bhai itni der se video upload karte ho saare celebration to kar diye maine,neutral
happy retirement jadeja,positive
roko ko koi nahi rok paya,neutral
praful bhai mba chaiwala ko apne powers ka andaaza lag chuka hai,neutral
jaddu also toke his retirement,neutral
known one asked for chahal bhai,neutral
thank you surya,positive
yes please make a video on virat and rohit,neutral
harbik is the best allarounder of this generation we are proud him,positive
jaddu ne bhi retirement le lee hai,neutral
pahul bhai video ke akhir mei ye kya dikha diya,neutral
maine kabhi hardik ko hate nhi kiya fir bhi sorryhardik,negative
aur world cup jitne hai,neutral
we need new haters for hardik the old haters are now his fan,neutral
nikkar giveaway kab karoge ab bolo,neutral
papa world cup jeet gaye ya seen kisne dekha,neutral
sorry for sky ku fu pandya other also,neutral
i am pakistani and im happy very happy india won kets go,positive
jadeja ne bhi retirement announce kar diya,neutral
proud of our players,positive
jaddu virat rohit retirement,neutral
goat hardik clutch kungfu pandya,neutral
ipl award video,neutral
sorry hardik youre the next kapil dev,neutral
pahul bhai mai aapko email kiya hai please help me,neutral
rohit kohli ritayard,neutral
sorry hardiksorry surya and sorry kohli,negative
jaddu roko retired,neutral
bhai jadeja also announced retirement,neutral
we are unbeatable champions now,positive
sorry to all,negative
bye rohit sharma virat kholi ranvindra jadeja,neutral
jadoo also retire,neutral
surya and hardik is hardik surya,neutral
ab gautam gambhir coach hy great rahul sir,positive
africa ko jitana chayiya ta,neutral
chingam dube sorry,negative
khada hu aaj bhi wahi par iss baar trophy bhi saath hai,neutral
virat kohli rohit sharma ravindra jadeja trent boult devid warner thank you legends,positive
iam proud of myself ki maine troll nhi kiya hardik ko maine dekha hai hardik aur ye pata tha mujhe ki woh kitna capable hai in the end ye hardik ki nahi meri bhi jeet hai love this guy ek ipl ke chakkar me tum hamare clutch player ko bhul gaye again usne prove kardiya aur ab kuch chumbai ipl kiddo aate hi honge most welcome tumhara,positive
