,Published_At,Comment_ID,Comment,Replies,Likes,all_eng
4854,['2023-08-24T02:45:05Z'],['Ugxo7HLgDkDWtxom7wZ4AaABAg'],tv channel news dhruv rathee ❤❤❤,[0],[22],tv channel news dhruv rathee
4857,['2023-08-24T02:44:53Z'],['UgznPhzrPHoSK78T_rt4AaABAg'],dhruv rathe gayan ka 14 h yea samaj ne walo like karo,[0],[0],dhruv rathe gayan ka 14 h yea samaj ne walo like karo
4858,['2023-08-24T02:44:11Z'],['Ugy9TqgQNiYyKMk7drR4AaABAg'],it&#39;s trending #01🎉🎉🎉🎉 proud indian 🇮🇳🇮🇳🇮🇳 finally chandrayaan 3 successfull ❤,[1],[152],it39s trending 01 proud indian finally chandrayaan 3 successfull
4862,['2023-08-24T02:43:01Z'],['Ugxq6ZRPAYzpekJfG6J4AaABAg'],jai hind 🇮🇳 proud full support canada 🇨🇦,[0],[1],jai hind proud full support canada
4865,['2023-08-24T02:42:02Z'],['UgwV8ymBPNEfFaVzeaN4AaABAg'],"means posted video hours!!!!! editing, information, knowledge 😮 take 2 days edit videos 🤦🏻\u200d♀️ 0.5 % video",[1],[3],means posted video hours editing information knowledge take 2 days edit videos u200d 05 video
4867,['2023-08-24T02:41:04Z'],['Ugyy39iSrQGnKAVNlth4AaABAg'],tu khus ha na pr 😅,[2],[0],tu khus ha na pr
4868,['2023-08-24T02:40:58Z'],['UgxoaITZdwe_tku5fLl4AaABAg'],damn! editing &amp; explanation 😮,[0],[0],damn editing amp explanation
4869,['2023-08-24T02:40:27Z'],['UgwsE4afQ1gfcf2pi-d4AaABAg'],soft landing content dhruv rathee,[0],[1],soft landing content dhruv rathee
4871,['2023-08-24T02:40:06Z'],['UgwsITUL7qxOdP8TDRV4AaABAg'],wastage money benefits country.proof water moon fine there&#39;s way life possible it.according money used useful country eradicate fraction poverty.,[0],[0],wastage money benefits countryproof water moon fine there39s way life possible itaccording money used useful country eradicate fraction poverty
4872,['2023-08-24T02:39:05Z'],['Ugxgqjt5EaBgxMXmbrF4AaABAg'],wow tranding no.1,[0],[2],wow tranding no1
4873,['2023-08-24T02:39:00Z'],['UgwuqRufckVtmHO-T8t4AaABAg'],make video voyager 1,[0],[0],make video voyager 1
4876,['2023-08-24T02:38:13Z'],['Ugw4Gyog7tMLDVIFUX14AaABAg'],bhai..itana knowledge aata kaha se hai aapko😅,[0],[0],bhaiitana knowledge aata kaha se hai aapko
4877,['2023-08-24T02:37:24Z'],['UgyjMdjdn4X7PiMGhMF4AaABAg'],teri maa chud gayi hogi na 😂😂😂,[0],[1],teri maa chud gayi hogi na
4878,['2023-08-24T02:36:45Z'],['UgyWr7fr8P2x5FwpXnl4AaABAg'],number 1trending ❤,[0],[0],number 1trending
4879,['2023-08-24T02:36:18Z'],['UgzJqW56Gt0Yr4gRfp14AaABAg'],wow trending 🔥🔥#1,[0],[0],wow trending 1
4880,['2023-08-24T02:36:11Z'],['UgziMifoxTOWey1kmu94AaABAg'],"it&#39;s great achievement india keeping mind india freed shackles britain 1947.imagine india free country 1857 , india could super power now.the west looted india prestige resources long time.its important indians proud thwir culture, skin colour keep going forward. good work isro.",[0],[1],it39s great achievement india keeping mind india freed shackles britain 1947imagine india free country 1857 india could super power nowthe west looted india prestige resources long timeits important indians proud thwir culture skin colour keep going forward good work isro
4881,['2023-08-24T02:35:23Z'],['UgzEKa3SNRc0pKRdj194AaABAg'],according abhi niyu&#39;s recent video yhe weight chandrayaan 3900 kg dhruv saying 1750 kg + 26 kg 1776 kg idk believe,[1],[0],according abhi niyu39s recent video yhe weight chandrayaan 3900 kg dhruv saying 1750 kg 26 kg 1776 kg idk believe
4883,['2023-08-24T02:35:16Z'],['UgwZEjrOk2GrUslbJWJ4AaABAg'],good work sir education become trending 1,[0],[2],good work sir education become trending 1
4884,['2023-08-24T02:35:12Z'],['UgyhuBmURR63BbxJyt14AaABAg'],apg abdul kalam sir great 🚀🚀 man 🇵🇰🇵🇰,[0],[2],apg abdul kalam sir great man
4885,['2023-08-24T02:34:44Z'],['UgxgLdDbAn0Vmwdg2_54AaABAg'],education become trending,[0],[1],education become trending
4886,['2023-08-24T02:34:30Z'],['Ugx2SZvK_QyLNU-VzWx4AaABAg'],wow dhruv sir top,[0],[2],wow dhruv sir top
4887,['2023-08-24T02:34:12Z'],['UgyFQ3P2uMbBlduvPsJ4AaABAg'],hard work brought fruition people south india...but successful chapatis rush claim glory !,[0],[0],hard work brought fruition people south indiabut successful chapatis rush claim glory
4888,['2023-08-24T02:33:33Z'],['Ugz_iQ96alAR-qnloXJ4AaABAg'],"hi, pakistan really congrates india historical success🎉🎉🎉🎉",[0],[1],hi pakistan really congrates india historical success
4890,['2023-08-24T02:33:02Z'],['UgwqggFn-oDJ-rjAUNB4AaABAg'],isro made us indian proud salute guys 🚀🇮🇳,[0],[0],isro made us indian proud salute guys
4891,['2023-08-24T02:32:48Z'],['Ugyih2b9GW5NbVKfaRt4AaABAg'],congratulations sir 🎉🎉 1no. trending🔥🔥,[0],[1],congratulations sir 1no trending
4894,['2023-08-24T02:31:30Z'],['Ugzv8DH3ePHBJ3DIWFB4AaABAg'],mein youtube per😂😂😂😂😂 mein youtube par music😂😂😂😂😂😂😂😅😅😅😅😂😂,[0],[0],mein youtube per mein youtube par music
4895,['2023-08-24T02:31:16Z'],['UgwVv4v-9NU0zOT24aJ4AaABAg'],trending 1 good job👍,[0],[3],trending 1 good job
4896,['2023-08-24T02:30:57Z'],['UgzeN3D0cf17cRCIRmJ4AaABAg'],sir gadar 2 par video nahi banaye ga kis karan se pakistan ben ❌❌❌ hai. ... aap pathan par bana diye bahut jald hi ....esa kyu🤔🤔🤔🤔🤔🤔🤔,[3],[0],sir gadar 2 par video nahi banaye ga kis karan se pakistan ben hai aap pathan par bana diye bahut jald hi esa kyu
4897,['2023-08-24T02:30:56Z'],['UgxsSESF788E6zD5Kxx4AaABAg'],"india make toilets moon 😂 populated, dirty people",[2],[0],india make toilets moon populated dirty people
4899,['2023-08-24T02:30:47Z'],['UgwRGu6WiZmAPnKeJRB4AaABAg'],no. 1 trending 🎉🎉🎉🎉🎉🎉❤❤❤❤,[0],[1],no 1 trending
4900,['2023-08-24T02:30:00Z'],['UgwZ3BiP43atlllV4e14AaABAg'],mai enka channel ka naam bhool gya tha firr maine namaskar dosto likha mujhe channel milgeya😅,[0],[3],mai enka channel ka naam bhool gya tha firr maine namaskar dosto likha mujhe channel milgeya
4902,['2023-08-24T02:29:06Z'],['UgyANoPt1KZghr_H3bp4AaABAg'],next level knowledge,[0],[0],next level knowledge
4904,['2023-08-24T02:26:57Z'],['UgzLDgVjLtO1_GHrPc14AaABAg'],<b>kya chand par gold ya diamond mil sakta hai 😅</b>,[0],[0],bkya chand par gold ya diamond mil sakta hai b
4906,['2023-08-24T02:25:17Z'],['Ugwr7E9ucCfNRyaYToB4AaABAg'],follow me❤❤❤,[0],[0],follow me
4908,['2023-08-24T02:25:04Z'],['Ugx4ayQRMtXgxf1e5BV4AaABAg'],video nasha developed cycle,[0],[1],video nasha developed cycle
4909,['2023-08-24T02:24:57Z'],['UgzuGo4E2jRo3KVp-oZ4AaABAg'],hi❤ hello friend,[0],[0],hi hello friend
4911,['2023-08-24T02:23:41Z'],['UgwgH324FK5ztJ-VDKl4AaABAg'],sab kuch toh sahi pr shyd aap ek cheez batana bhool gaye ki &quot;south pole par land krne wala bharat phla desh hoga&quot;,[0],[0],sab kuch toh sahi pr shyd aap ek cheez batana bhool gaye ki quotsouth pole par land krne wala bharat phla desh hogaquot
4912,['2023-08-24T02:23:17Z'],['Ugxfk1ja5tONQxpgjj54AaABAg'],dhruv rathee &gt;&gt; cosmos space odyssey ❤❤,[0],[0],dhruv rathee gtgt cosmos space odyssey
4914,['2023-08-24T02:22:44Z'],['UgwTxLfx_P0p7ojoUI94AaABAg'],nothing explain actually …it done modi scientist scientists followed guidance great modi,[1],[0],nothing explain actually it done modi scientist scientists followed guidance great modi
4915,['2023-08-24T02:22:15Z'],['UgzoS_WjQCd7c7JD2_p4AaABAg'],congratulations indian 🇮🇳🇮🇳🇮🇳🇮🇳🇮🇳🇮🇳 special thanks isro🎉,[0],[1],congratulations indian special thanks isro
4916,['2023-08-24T02:21:36Z'],['UgzT2_G8xMHZCOhH05Z4AaABAg'],man need padmbhushan awards,[0],[2],man need padmbhushan awards
4918,['2023-08-24T02:17:48Z'],['UgzFL6nXjxbf_pRNoTx4AaABAg'],moon mineralogy mapper hits moon . possible dust flow air air moon.,[0],[0],moon mineralogy mapper hits moon possible dust flow air air moon
4919,['2023-08-24T02:17:12Z'],['UgyidM-ttq7pw6dMENl4AaABAg'],jawahar point? ... scientist vikram name lander,[0],[2],jawahar point scientist vikram name lander
4922,['2023-08-24T02:16:30Z'],['Ugw_O4Lzj7EdEe0Z7Ud4AaABAg'],bhai kaha se late ho itni information dhruv bhai 🥺🥺 amazingly explained.. 🙏💯,[0],[3],bhai kaha se late ho itni information dhruv bhai amazingly explained
4923,['2023-08-24T02:15:38Z'],['Ugww4EVMFaib2zJX2wh4AaABAg'],great achievement india respect pakistan,[0],[1],great achievement india respect pakistan
4928,['2023-08-24T02:14:18Z'],['UgwnpCjOj19gA6ek-tR4AaABAg'],namskar dosto bahut mast lgta hai ❤,[0],[3],namskar dosto bahut mast lgta hai
4929,['2023-08-24T02:14:18Z'],['UgxV_24jjBJNmQ5OQjh4AaABAg'],please check id ❤,[0],[0],please check id
4930,['2023-08-24T02:14:09Z'],['Ugxnxr6YksKUKGwZwUl4AaABAg'],kaun kaun chahta hai ki dhruv apne sabhi course youtube pe free mai lounch kre 😊,[0],[0],kaun kaun chahta hai ki dhruv apne sabhi course youtube pe free mai lounch kre
4933,['2023-08-24T02:12:28Z'],['UgxUiglF1-FHD8jXBL14AaABAg'],dear dhruv ji kya ap indian nehi ho,[0],[0],dear dhruv ji kya ap indian nehi ho
4934,['2023-08-24T02:11:55Z'],['Ugz6t8HSWrlo9uk2Psl4AaABAg'],no. 1,[0],[1],no 1
4935,['2023-08-24T02:11:33Z'],['Ugxmbvhd7CWyFMRDuEN4AaABAg'],nice bro sappot my👌,[0],[0],nice bro sappot my
4936,['2023-08-24T02:11:21Z'],['Ugw_5fpzjCuab9pknah4AaABAg'],"dhruv baya plz continue science technology vedios like missiles india, submarine , gravitational lensis , ai , block chain , crptocurrency , 3d painting , pendamic , dna etc",[0],[1],dhruv baya plz continue science technology vedios like missiles india submarine gravitational lensis ai block chain crptocurrency 3d painting pendamic dna etc
4938,['2023-08-24T02:10:29Z'],['UgxLbiUEGb3mkwWGB3B4AaABAg'],0:1 welcome❤,[0],[0],01 welcome
4941,['2023-08-24T02:08:48Z'],['UgyVVKBnE4YOwcbl3Y54AaABAg'],dhruv rathee badal gya kya pakistan jaisa,[0],[0],dhruv rathee badal gya kya pakistan jaisa
4942,['2023-08-24T02:08:31Z'],['UgzTPwduNtA8gwRJOQZ4AaABAg'],chatgpt student,[0],[1],chatgpt student
4943,['2023-08-24T02:07:47Z'],['UgxLQjnaghtE2uB5SSt4AaABAg'],raund 2 hall 2nd 😂,[0],[3],raund 2 hall 2nd
4944,['2023-08-24T02:07:25Z'],['UgylOfVPkrQX5UWZe-J4AaABAg'],"said water moon atmosphere, moon atmosphere, water moon surface . idiots like search goolgle get data make video, proper research man",[0],[0],said water moon atmosphere moon atmosphere water moon surface idiots like search goolgle get data make video proper research man
4945,['2023-08-24T02:05:26Z'],['UgywU2bjI-qS9YyXYgp4AaABAg'],youtuber hu🎉🎉🎉🎉 mara personal channel ha❤❤❤ mara channel sa apki help ho sakti hai 😊😊😊😊,[0],[0],youtuber hu mara personal channel ha mara channel sa apki help ho sakti hai
4946,['2023-08-24T02:04:40Z'],['Ugwg5Fx6Mq5A8uPg3GJ4AaABAg'],salute dhruv &amp; team detailed analysis ..,[0],[1],salute dhruv amp team detailed analysis
4947,['2023-08-24T02:04:21Z'],['Ugx8hNIKxcselp_-Atp4AaABAg'],simply druv explain this. many points clear now.,[0],[1],simply druv explain this many points clear now
4948,['2023-08-24T02:04:10Z'],['Ugwp_QAYYvK3FnYVN9N4AaABAg'],chup sale 😡,[0],[0],chup sale
4949,['2023-08-24T02:03:35Z'],['UgxLWCEaaRTzDDqk-6V4AaABAg'],hindustan jindabad jay shri ram 🙏🙏🙏🙏,[0],[0],hindustan jindabad jay shri ram
4950,['2023-08-24T02:03:08Z'],['UgxCrou488ejrXG0WPl4AaABAg'],pakistan 🇵🇰 achieved 300 rs per dollar 😂😂😂😂,[0],[0],pakistan achieved 300 rs per dollar
4951,['2023-08-24T02:02:13Z'],['UgxFqQvUXvMsiB3Raol4AaABAg'],chup,[0],[0],chup
4952,['2023-08-24T02:00:55Z'],['UgyspfMfXhBvNSMVuAN4AaABAg'],chandrayaan se hamen kya milega ham middle class bande hain hamen kuchh milega,[0],[0],chandrayaan se hamen kya milega ham middle class bande hain hamen kuchh milega
4955,['2023-08-24T01:58:15Z'],['UgxkNr6609On1Gb2gRJ4AaABAg'],"explained well, good information perfect research 👍 jai hind 🇮🇳",[0],[2],explained well good information perfect research jai hind
4956,['2023-08-24T01:58:04Z'],['Ugww2iH0hi-aqQFWG2B4AaABAg'],"20 hours 6m views , dhruv kind educational videos🔥❤️",[0],[42],20 hours 6m views dhruv kind educational videos
4957,['2023-08-24T01:58:02Z'],['UgyEVpUM0yt17S3JrWV4AaABAg'],hey dhruvv❤,[0],[0],hey dhruvv
4961,['2023-08-24T01:55:33Z'],['UgxSuVM2n6Nl1NEINsd4AaABAg'],ruv dhratee true ☪️huslim,[1],[3],ruv dhratee true huslim
4962,['2023-08-24T01:54:22Z'],['UgwB-fPatHSbIVnaIp14AaABAg'],videos incredible 😍 really i&#39;m kidding 👍,[0],[1],videos incredible really i39m kidding
4963,['2023-08-24T01:53:23Z'],['UgzFFLvkGNzAFPPR7kh4AaABAg'],suar bhauke matlab kuch achcha hua hai 😂😂😂,[0],[1],suar bhauke matlab kuch achcha hua hai
4964,['2023-08-24T01:52:43Z'],['UgywrOLp6fkr8DBig-t4AaABAg'],chalo accha hai aaj kuch naya bola mujhe laga phir se apne gandi baat karga😂😂😂,[1],[0],chalo accha hai aaj kuch naya bola mujhe laga phir se apne gandi baat karga
4966,['2023-08-24T01:52:05Z'],['UgwzWDzWGwAgOaWRkdt4AaABAg'],make video mangalyan,[0],[0],make video mangalyan
4967,['2023-08-24T01:52:04Z'],['UgwFKilmbY_JqyrWIX14AaABAg'],congratulations india love respect sindh pakistan,[0],[1],congratulations india love respect sindh pakistan
4969,['2023-08-24T01:51:13Z'],['Ugze8M7MrepdnBXJ4Pd4AaABAg'],best news come across since 2011.,[0],[0],best news come across since 2011
4970,['2023-08-24T01:50:35Z'],['Ugx_ImYOj1f7shba9r94AaABAg'],news channels crying corner,[0],[0],news channels crying corner
4971,['2023-08-24T01:50:30Z'],['Ugxv6-zsrQnECN5pkA14AaABAg'],far better godi media,[0],[0],far better godi media
4973,['2023-08-24T01:49:34Z'],['Ugypont2IDYzA_ry5fx4AaABAg'],bigg boss na apko nehi liya @eivasyadav fan,[0],[0],bigg boss na apko nehi liya eivasyadav fan
4974,['2023-08-24T01:48:43Z'],['UgxvmETF58bfijYGhJB4AaABAg'],next mark jakarberg,[0],[0],next mark jakarberg
4976,['2023-08-24T01:48:04Z'],['UgyhRxBIDpP6pmPkq3B4AaABAg'],upna ko pinned kiyu kiya,[0],[0],upna ko pinned kiyu kiya
4979,['2023-08-24T01:46:59Z'],['Ugx9fa6hzTADBjfkZKN4AaABAg'],jab russ fail huaa :hamara hindustan jindabad tha &quot;jindabad hai &quot; jindabad rahega,[1],[0],jab russ fail huaa hamara hindustan jindabad tha quotjindabad hai quot jindabad rahega
4983,['2023-08-24T01:45:06Z'],['UgxknuyggGd26V1DmZl4AaABAg'],trending no. 01❤,[0],[2],trending no 01
4984,['2023-08-24T01:45:03Z'],['Ugy7EfvGpobP6VBb3Tx4AaABAg'],world waar 2 kaa part two kidher hai bhai?? wants part two guys,[0],[0],world waar 2 kaa part two kidher hai bhai wants part two guys
4988,['2023-08-24T01:42:04Z'],['Ugz8f5JHCT2qoZyyfJ94AaABAg'],man needs new pet house😊,[0],[3],man needs new pet house
4989,['2023-08-24T01:41:25Z'],['UgySTLoIiwTpz777UYp4AaABAg'],"desh main kuch bhi hota hain toh modi ko gaali marta hain, abh kya hua, modi ko bhul gaya ?",[2],[2],desh main kuch bhi hota hain toh modi ko gaali marta hain abh kya hua modi ko bhul gaya
4990,['2023-08-24T01:41:24Z'],['UgyViu17TBi8X5FFCf94AaABAg'],proud moments india 🇮🇳 power ind 💪,[0],[4],proud moments india power ind
4991,['2023-08-24T01:41:18Z'],['Ugy-Us0z9Oz-DNazQkV4AaABAg'],congratulations india remarkable achievement successful soft landing south pole moon chandrayaan 3! milestone showcases nation&#39;s dedication space exploration technological advancement. fact accomplishment achieved budget lower interstellar movie truly underscores innovation efficiency india&#39;s space program. it&#39;s inspiring witness incredible strides space exploration. 🇮🇳🇦🇪,[0],[6],congratulations india remarkable achievement successful soft landing south pole moon chandrayaan 3 milestone showcases nation39s dedication space exploration technological advancement fact accomplishment achieved budget lower interstellar movie truly underscores innovation efficiency india39s space program it39s inspiring witness incredible strides space exploration
4993,['2023-08-24T01:36:18Z'],['UgzV44wTdh8sPYJlqnp4AaABAg'],"want gratulate india😀 sertainly one greatest achievement decade😀 maybe soon start build moonbases,and tourism start ?",[0],[0],want gratulate india sertainly one greatest achievement decade maybe soon start build moonbasesand tourism start
4994,['2023-08-24T01:35:56Z'],['Ugz94qARpUIsSEm7tYB4AaABAg'],"people comparing illiterate, zero tallent knowledgeable person basis winning big boss (where criteria zero tallent). unemployed people celebrating",[0],[4],people comparing illiterate zero tallent knowledgeable person basis winning big boss where criteria zero tallent unemployed people celebrating
4995,['2023-08-24T01:35:16Z'],['Ugz8m9EZTUMb3ALcClJ4AaABAg'],isro 🇮🇳🇮🇳🇮🇳 makes india proud ❤ big victory india ❤🇮🇳,[0],[0],isro makes india proud big victory india
4996,['2023-08-24T01:34:47Z'],['UgxfbXy68lvcoFQnUnN4AaABAg'],love frm assam,[0],[1],love frm assam
4997,['2023-08-24T01:33:21Z'],['UgzqVS0oBpVu73uPwtF4AaABAg'],लूनार के लैंडिंग की टेक्नोलॉजी खुद बनाई की us से ली???,[1],[0],us
4998,['2023-08-24T01:30:14Z'],['UgwYWC7LfV4iZ1XmTe14AaABAg'],#1 trending ❤❤❤🎉🎉congratulations bro....,[0],[10],1 trending congratulations bro
5001,['2023-08-24T01:27:51Z'],['UgxgDwJkCxEz4n6vsvB4AaABAg'],"chandrayan-3, thanks supporting scientist isro. chand par bhejkar kya ukhaad lengey ye pheku-modi waley..?.. waisey toh pheku-modi ney desh ko baigan mein mila hi diya, aur ab moon ko baigan mein mila dega....aur toh pheku-modi chand par jaakar chandr bhagwan sey milkar wahan par desh key gaddaron (sangh-pariwar) ko shift karney ki mou agreement deal sign bhi kar diya hoga....😮😅",[0],[1],chandrayan3 thanks supporting scientist isro chand par bhejkar kya ukhaad lengey ye phekumodi waley waisey toh phekumodi ney desh ko baigan mein mila hi diya aur ab moon ko baigan mein mila degaaur toh phekumodi chand par jaakar chandr bhagwan sey milkar wahan par desh key gaddaron sanghpariwar ko shift karney ki mou agreement deal sign bhi kar diya hoga
5002,['2023-08-24T01:27:13Z'],['UgyqaxIAhLuoy_J6xB94AaABAg'],replace india make history reality india make history😅 🙂,[0],[1],replace india make history reality india make history
5003,['2023-08-24T01:24:47Z'],['UgzsO7LLTmHuHqXzBst4AaABAg'],happy neighbors 🇵🇰,[0],[5],happy neighbors
5004,['2023-08-24T01:24:02Z'],['UgwsFS7fHUnVTUS-mLd4AaABAg'],bhai aap har topic ke upar video baanate ho lekin odisha main itnaa badaa train accident huaa lekin uske baare main aapne ek bhi video kyun nei daali...ek short video hi banaalo agar content nehin hai,[0],[1],bhai aap har topic ke upar video baanate ho lekin odisha main itnaa badaa train accident huaa lekin uske baare main aapne ek bhi video kyun nei daaliek short video hi banaalo agar content nehin hai
5006,['2023-08-24T01:22:43Z'],['UgxqC0ee4XZ3Gkr8c_N4AaABAg'],treanding #1,[0],[2],treanding 1
5007,['2023-08-24T01:21:38Z'],['UgwvknGq9zx8e9oyv4h4AaABAg'],"congrats indians, pakistani feel sad country i&#39;m happy guys",[0],[1],congrats indians pakistani feel sad country i39m happy guys
5008,['2023-08-24T01:17:26Z'],['UgwlvWF3vWEz4A5xVot4AaABAg'],dogla,[0],[0],dogla
5009,['2023-08-24T01:16:36Z'],['Ugxl1O4YbN4gpaRoDvp4AaABAg'],ye pyar hmse na ho payiaga darling ride per chalana h bolo,[0],[0],ye pyar hmse na ho payiaga darling ride per chalana h bolo
5010,['2023-08-24T01:16:11Z'],['UgzRJ9e6DuVq5_swjW14AaABAg'],love u,[0],[1],love u
5011,['2023-08-24T01:15:44Z'],['UgwZYnh6kZEkHhxobOR4AaABAg'],trending 1 yt 🎉🎉🎉 congratulations brother ❤❤❤,[0],[3],trending 1 yt congratulations brother
5012,['2023-08-24T01:15:29Z'],['UgxEd9tRBiPjF8kk8al4AaABAg'],become next neil armstrong,[0],[0],become next neil armstrong
5015,['2023-08-24T01:14:51Z'],['UgwDo0fjXf6oFLGb1mB4AaABAg'],bro astronauts go moon,[0],[0],bro astronauts go moon
5017,['2023-08-24T01:12:53Z'],['Ugy_mjM84rfvgNesYTt4AaABAg'],congratulations india &amp; isro 💚💚💚💚🇮🇳🇮🇳🇮🇳🇸🇦🕋,[0],[4],congratulations india amp isro
5018,['2023-08-24T01:12:36Z'],['UgzOcl8ndMvJ5PiKawV4AaABAg'],confirmed water moon high altitude happy❤,[0],[1],confirmed water moon high altitude happy
5019,['2023-08-24T01:12:33Z'],['UgwQipv7VJh8uG0o8zN4AaABAg'],dhruv india first country land southpole 😊,[0],[2],dhruv india first country land southpole
5020,['2023-08-24T01:11:34Z'],['UgwxONJwDZFtYDZkq2h4AaABAg'],salute kalpana chawla🇮🇳\u0001fae1💗,[0],[1],salute kalpana chawlau0001fae1
5021,['2023-08-24T01:11:23Z'],['Ugz-jatSR1gemnsK6aR4AaABAg'],big congratulations indian&#39;s success,[0],[1],big congratulations indian39s success
5022,['2023-08-24T01:11:11Z'],['UgwCLCqhcS0XnqHnbJN4AaABAg'],proud moment ❤️\u200d🔥 goosebumps ❤️\u200d🔥,[0],[2],proud moment u200d goosebumps u200d
5023,['2023-08-24T01:10:02Z'],['UgxkTYbprOILXf78Qyl4AaABAg'],congratulations 👏🎉 india moon 🌝🇮🇳 proud isro team members 🎉 love karnataka bidar 🇮🇳,[0],[14],congratulations india moon proud isro team members love karnataka bidar
5025,['2023-08-24T01:08:46Z'],['UgzPZLlH15mhtftthHV4AaABAg'],"systum yha kaam nhi aaya , technology matters 😂",[0],[2],systum yha kaam nhi aaya technology matters
5032,['2023-08-24T01:04:35Z'],['UgyZa72mZISguE0-1UV4AaABAg'],"congratulations heart 🎉 best, proud moment landed successfully. ❤❤❤ regret pm modi.",[0],[1],congratulations heart best proud moment landed successfully regret pm modi
5035,['2023-08-24T01:01:47Z'],['UgwNVowZmvyZe-uon4t4AaABAg'],better tv shows space program,[0],[2],better tv shows space program
5036,['2023-08-24T01:01:16Z'],['UgwQHW4eBYCSbqdO3o54AaABAg'],sir aap political video na banake aise video banau bahoot acha lagta hai knowledge ki bhander hota hai. controversy mai kyu padna bina wajhe,[2],[1],sir aap political video na banake aise video banau bahoot acha lagta hai knowledge ki bhander hota hai controversy mai kyu padna bina wajhe
5037,['2023-08-24T01:00:27Z'],['Ugy_e9RMMHTBkyNqHSl4AaABAg'],trending 01 video 💪💪,[0],[3],trending 01 video
5039,['2023-08-24T00:59:41Z'],['Ugyeh81S7XcFhPpUF0d4AaABAg'],bloody businassman,[0],[1],bloody businassman
5041,['2023-08-24T00:56:56Z'],['UgzmiJIMJeKJIb-8aH54AaABAg'],languages chatgpt videos available course ?,[1],[1],languages chatgpt videos available course
5042,['2023-08-24T00:55:54Z'],['UgyYuqiPmdKY7iyHfhd4AaABAg'],successful chandrayan 3 mission,[0],[1],successful chandrayan 3 mission
5043,['2023-08-24T00:55:53Z'],['UgyL64HnF3A4Wid04nN4AaABAg'],🎉congratulations bro #1 trending 👏,[0],[3],congratulations bro 1 trending
5044,['2023-08-24T00:55:04Z'],['Ugzs_7Z2kD-2TGmSTjF4AaABAg'],video trending youtube. no.1.👍,[0],[4],video trending youtube no1
5045,['2023-08-24T00:54:56Z'],['Ugw4G3F764_VjumIIvF4AaABAg'],congratulations neighbor ❤,[0],[0],congratulations neighbor
5048,['2023-08-24T00:53:58Z'],['Ugxf_mPtgSkkBs1X-It4AaABAg'],निकल gandgagi😂,[1],[1],gandgagi
5049,['2023-08-24T00:53:06Z'],['UgywYxkbIJHYb-laQ2l4AaABAg'],videos interesting❤ don&#39;t like watch 1.5x.,[0],[1],videos interesting don39t like watch 15x
5050,['2023-08-24T00:52:53Z'],['UgwUWlVM-EaERVcDrX14AaABAg'],subscriber subscriber hun😊 mera chainal india history chandrayaan 3 hai 😊,[0],[1],subscriber subscriber hun mera chainal india history chandrayaan 3 hai
5052,['2023-08-24T00:50:31Z'],['UgyO6YctZirN74ddjFp4AaABAg'],dhruv rathi beauty,[0],[1],dhruv rathi beauty
5053,['2023-08-24T00:50:04Z'],['Ugz1pWfrKQ4It8OBBVB4AaABAg'],youtube youtube ❤ mera channel india story hai hamare channel se aapka help ho sakta hai😊🎉 nice friend 😊,[0],[1],youtube youtube mera channel india story hai hamare channel se aapka help ho sakta hai nice friend
5054,['2023-08-24T00:49:41Z'],['Ugwki-M22tdOQf5fesp4AaABAg'],namaskar dosto bat hai... 😂😂 dhuve bhai starting line gives.....,[0],[1],namaskar dosto bat hai dhuve bhai starting line gives
5055,['2023-08-24T00:47:54Z'],['UgxRYAj6H8NL7gkdAe14AaABAg'],trending no.1 called education power 😮,[0],[3],trending no1 called education power
5057,['2023-08-24T00:45:53Z'],['UgxuZynMfFektCHdbIF4AaABAg'],congratulations india💐 made history.👍,[0],[1],congratulations india made history
5059,['2023-08-24T00:43:40Z'],['Ugy5gQmd-NqYL0sYRit4AaABAg'],ye nasa waly ab insano ko kio ni bheejte?,[1],[1],ye nasa waly ab insano ko kio ni bheejte
5060,['2023-08-24T00:43:35Z'],['UgwVIcHJNXrC1SOxd0p4AaABAg'],india make history chandrayaan mera channel india make history channel hai,[0],[0],india make history chandrayaan mera channel india make history channel hai
5061,['2023-08-24T00:42:51Z'],['UgyoM56s2z7dEukJB9N4AaABAg'],moon landing always fake,[0],[0],moon landing always fake
5063,['2023-08-24T00:42:02Z'],['UgwtXY5mTtpS_OPrMlB4AaABAg'],iam youtuber mai youtuber hu❤,[0],[0],iam youtuber mai youtuber hu
5065,['2023-08-24T00:39:14Z'],['UgxrkhCxvkT2ODFzp8Z4AaABAg'],imagine would happened toppers india work inside india outside america money,[0],[2],imagine would happened toppers india work inside india outside america money
5066,['2023-08-24T00:38:09Z'],['UgwvFsdohPtbSUveNgh4AaABAg'],pure cgi. bad attempt too. telling actually real?,[0],[1],pure cgi bad attempt too telling actually real
5067,['2023-08-24T00:37:51Z'],['UgyF3TmQaNUBmVzsMC54AaABAg'],"drhuv yu rocking.knowledge power.your vidio help various students india,commen people real desh seva.mab bakth ko bi use full tumara blog",[0],[1],drhuv yu rockingknowledge poweryour vidio help various students indiacommen people real desh sevamab bakth ko bi use full tumara blog
5071,['2023-08-24T00:35:38Z'],['Ugz8wU1smw3ccmDTy1x4AaABAg'],dhruv lover fan 👉,[0],[3],dhruv lover fan
