Cleaned_Comment,Predicted_Sentiment
sorry harsha bhogle you should have said quotgiving us a tournament to savorquot,negative
dravid the real proffessor,positive
its really a chunk of innovative definition from harsha sir,positive
hello i think you missed surya kumar yadavs contribution and his magical catch,positive
harsha you said bumrah is currently the best white ball player at the moment do you know a better red ball bowler than bumrah,negative
thank you harsha for wonderful words on wc win even though you missed sky,positive
hindu united prosperous no more deshdhrohis positive vibes to all om namah shivaya,positive
bumrah is lord buddha of bowling he is calm doesnt say much yet his balls does the talking amp means a lot,positive
harsha bhogle what a oratory skills amazing the way he speaks and knowledge of cricket,positive
and sir its very sad that you forgot to mention about the match winning catch by suryakumar yadav,negative
and this was all possible only after dhoni became captain his captaincy speaks in all these players mentioned,positive
yeah for a change the indian team was greater than the sum of its parts,positive
just like the best cricket team in the world right now you harsha bhogle sir are the best commentator thats ever lived you also are a living legend who the whole world loves to listen to will watch cricket matches on mute if you ever decide to retire you certainly are masterclass,positive
we are proud of our team,positive
from ages billion hearts are bleeding now they are healed and blooming with smile and love kisses and blessings and prayers to india team and kohli and rohit,positive
modi is disaster trump is disaster meloni is disaster marine le pen is disaster geert wilders is disaster etc etc etc but what lies in ruins is your understanding of what the common people across the world want,negative
whenever harsha sir speaks we get goosebumps,positive
forgot about hardik and surya sir,negative
its not out how third upmire missed that boundry line is already pushed back see the boundry line marks sky catch,negative
why is there no mention of hardik pandya,negative
i think bro has some issues with hardik pandya,negative
congratulations to team india thank you team india amp all the best for the tournaments in the upcoming future jai hind,positive
rahul dravid himself wouldnt have thought he would win a world cup even after his retirement,positive
what a finala day to cherish foreverand at the same time feeling sorry for proteas as wellgreat game guys,positive
wow harshas made me emotional here put that wc win into great words it was a collective team effort amazing to see,positive
harsha bhogle for a clear picture of indian cricket,positive
harsha sir described whole world cup in very nicely,positive
listing to harsha bhogale is like poetry of indian team victory story got emotional,positive
india will probably get another kohli or rohit but im not sure well get another bumrah theres not a single bowler in sight that comes even close to him,negative
champions india looser pakistan lol,positive
why no comments on pandya he was spectacular,positive
harsha voice makes me cry,negative
axar patel for me was the player of the tournament,positive
sorry harshathere is no red ball bowler like bumrah too he will achieve a lot more with test championships and other trophies we are just blessed to live in the bumrah era,negative
you forgot hardik pandya in the list i clearly remember you mentioning a few months back when hardik was being given a hard time for replacing rohit you mentioned if india has to do well in the world cup hardik will have to do well salute to your cricketing acumen and insight,negative
congratulations team india proud of you guys keep going god bless india both the hit man and the king are geniuses the true sons of the soilmiss you both guys,positive
gambhir can finally build a good side with all rounders,positive
salute to dravidcoaching staff and playing squad,positive
beautiful wordsharshayou too are a legend,positive
nice one harsha very motivating,positive
bharat mata ke jai,positive
rohit sharma and virat kohli s retirement its create a new era of indian cricket cause of new generations motive as australia and england always did,positive
axar patel must be mentioned for his all round contributions in some tough times,positive
oh boy thats how u sum it up in symphony,positive
the coach dravid is too young to walk away from the game if the next coach does not work out the board should tap him and bring him back for a full wc to wc term,positive
except jadeja everyone perform,positive
india never appreciated and seen a bowling supporting country and jasprit bumrah changed everyones narrative how important and valuable a bowler is and what a bowler deserves just like a batsman,positive
eloquence amp lucidity while speaking the queens languagewonderful mrbhogle,positive
forgot about hardik pandya,negative
that crybaby mike v can go to that diagonalley with the help of harry potter and never come back he can cry the fluids out of his body nobody gives a dam,negative
axar patel is the most underrarted of the tournament he has produced with ball bat field,negative
hardik should have been man of the tournament imo,positive
the og harsha bhogle,negative
when harsha speaks its cinema simply beautiful choice of words he always finds congratulations neighbour from pakistan,positive
one more reason india won absence of great k l rahul the time he has joinedindia could not win any icc trophy,negative
harsha who writes your lines please find someone better,negative
hardik pandya was the most consistent player through out the tournament and people are forgetting him hardik pandya contributed with both bat and ball in my opinion the world cup was brought home by him,positive
classy by harsha this victory wouldnt be complete without his video,positive
rohit erased the fear from the word go he is greatest captain and player i have seen rohit my cricketing viewership ends with himn,positive
era started with rohit,positive
sir pardon me for me your voice has changed by your age you talk like great kapil dev its my opinion may be i am wrong,negative
beautifully said harsha ji,positive
namaskaram sir,positive
hardik too,negative
beginning to the end of this videofull of goosebumps goosebumps goosebumpswhy im crying,negative
great team and great victory,positive
same energy as gambhir in the show quotaus ka bossquot,positive
harsha your vocabulary is amazingly great,positive
didnt say a word for hardik and surya,negative
how heartening to see kohli getting retired its all due to gambhir statement india dont need gambhir as a coach,positive
im sure he didnt mean to but missed mentioning suryakumar and hardik he spoke about hardik in his personal vlog though,negative
i am always a big fan of harsha bhogles analysis and his command of english commentary,positive
undefeated alpha team,positive
rohit and virat im falling short of words to describe your personality two greatest sons india has ever produced,positive
the wall of india felt so happy to see him pumped up as he lifted the trophy what a true gentleman he is fan from,positive
you are my favourite commentator sir love u,positive
jasprit bumra won us the world cup,positive
this win moment we celebrate but we are more emotions tears,positive
the way you sum up its amazing,positive
what jay shaw is doing there,negative
did he not mention hardik pandya,negative
great win india praise to rohits leadership praise to the whole team absolute respect amp happiness for great rahul dravid he deservs this win under har cap god bless india,positive
where are those people who insulted hardik during ipl he took those crucial wickets,negative
you missed hardik pandya at the end,negative
harsha you missed hardik,negative
harsha storytelling just wow,positive
southafrica deserved this cup they played better than anyone else i am happy for india but southafrica were the true champions,positive
wow such beautiful harsha bhogle its always a pleasure to listen to harsha bhogle,positive
cant type too many feelings going on love you team india,positive
amazing tribute harsha always finds the right words for the big moments,positive
why did indias spin attack fail in the final,negative
the voice of cricket harsha bhogle,negative
harsha managing to make us teary,positive
well said about virat kholinever doubted virathis name suggest his calibrevirat,positive
excellent harshasummed it up perfectly,positive
you have missed hardik pandyas contribution,negative
king kohli will always a legend a legend will never retire,positive
sorry but are you biased against hardik,negative
wow goose bump typical hb style nicely narrated sir,positive
all tears,negative
harsha tried his best pulling virat down under the influence of a mumbaikar sunil gavaskar but both of them failed miserably,negative
sky excellent catch in the last over dont forget this also changed the match in the last minutealso,positive
i was watching cricket for sachin once upon a timenow only for bumrahi will replay the match to see his bowling actionsall my youtube videos only bumrah s bowling,positive
it is high time that harsha retires bored of u bro,negative
would have loved to hear about hardik pandyas contribution in this wc,positive
you forgot kuldeep contribution in other games,negative
damn the way you narrated indias journey made me start crying again,negative
well said,positive
i am emotional right now had a bad year personally but the win yesterday made my year thank you rohit virat bumra akshar arshdeep kuldeep hardik rishab and rahul dravid i will remember this for the rest of my life thank you thank you and thank you i love you all,positive
to also mention hardik pandya has been the unsung hero be it with the bat in the death overs or the ball in the clutch games against pakistan and finals he was the one following up the great bumrah overs equally well and making sure the impact is well and truly there the dangerous klassen and miller in the finals when they were on song is no joke pandya was trolled by the mi fans for whatever reasons now is the time to paint him in gold and own him hats off to pandya,positive
whats about sky,positive
thank you cricbuzz,positive
i wish k l was there,negative
summed up like a pro oops harsha is a pro,positive
i think harsh u have forgot to mention about hardik,negative
thank you harsha,positive
you are hero harsha,positive
this was brilliantly put together,positive
this is best final,positive
why wasnt barbados pm called and asked to hand over the cup to winning captain,negative
de diye choco king nai,negative
when harsha speaks it seems like poetry to my ears,positive
harsha bhai apko hindi nahi ata paisa india ka khaoge and language britisher ka,negative
perfect encapsulation keep them coming harsha,negative
this was the perfect world cup usa and afghanistan going the distance kohli showing up in a nailbiting final bumrah being otherworldly throughout the tournament no runfests the relaxed and cheerful crowds of the caribbean and so on and so forth couldnt have scripted it better,positive
hats off too two legends of the game,positive
felt very uncomfortable when i saw the son of a dirty politician with our great team at the end,negative
love indian victory jai hai,positive
to add to all of that suryas catch will be remembered for a long long time,positive
soundtrack mammoth run by quiet lake,positive
maybe this worldcup will be in their in biopic rohit as captain making india win and virat giving good score in the final,positive
an era ending on a beautiful notethank you for the emotions and entertainment rohit and virathappy and sad day,negative
harsha u missed hardik pandya,negative
respect harsha immensely but why do most of the experts not talk about pants performances in detail he analysed axars dubes amp arshdeeps performances but about pant it was only quotin the early part of the inningsquotwhatit appeared as if his actual comments were edited pants performances were below par but nobody has called him out,negative
is this scene in broly movie,negative
why cant i stop my tearsmiss you virat and rohit,negative
forgot to mention suryas name his contribution with bat in earlier matches and match winning catch in final,positive
what a beautiful videostraight from the from the inimitable harsha,positive
was waiting for the voice of cricket mr bhogle to tell us on the match thank you sir big fan here,positive
love from bangladesh sir harsha bogle,positive
now only test series win in south africa is left to be achieved we have come so near yet so far on many occasionssad for south africa as they will win a world cup surely in the near future for sure,negative
a match is incomplete without the post match analysis by you harsha thanks for being such an orator,negative
congratulations team you guys have got the sweetest and the great moments to celebrate love from pakistan,positive
brilliant exhilaratingindia winning the cup,positive
what about sa you are neutral right,neutral
team india now time for champions trophy bring back home,positive
so finally you realize harsha that you were talking about virat kohli,negative
you forgot hardik pandya he is won the game actually,positive
great day great analysis but you forget surya,negative
it feels like poetry when harsha describes this way,positive
sir you missed hardik,negative
rahul dravid made many loyal ict fans emotional,positive
you forgot to mention hardik pandya,negative
amazing harsha beautiful summary of the world cup,positive
if you enjoy this video then like amp share with fellow cricket fans subscribe to cricbuzz channel for more stories around the game we love,positive
always as usual unless you hear it from harsha its not official yet,neutral
you are nice commentator,positive
harsha the way you summed up the feelings of common indian fanyou truly are the voice of indian cricket,positive
arre sky his knocks in sf catches in final,positive
you forgot hardik pandya at the end,negative
bumrah arshadeeep sky won us the cup,positive
such beautiful words thanks harsha for existing,positive
quotyuvraj singhquot quotaxar patel quot do we need a left hander allrounder reserved for a world cup every season,negative
what does corporate harsha bhogle have to say about the ousting of rohit sharma from mi captaincy without informing him in advance how he has reposed confidence in hardik pandya despite the controversial recent past who is the true leader the real captain,negative
had india lost the kohli innings would have been criticised by the majority glad it didnt happen he deserves to be a champion thank you for the joy cheers,positive
unbelievable virat king kohli,negative
sanju samson was not given a chance to bat why pant is still on the team,negative
the highlight of the tournament was the knock of rohit that he played against the aussies consideding that he is gonna retired after couple of matches that set the tone for the rest of the team that no matter what just play these few matches out of your skin and snatch the trophy,positive
congrats team cricket india,positive
extend rahul dravids coaching contract,positive
thanks harsha bogle for taking professional cricket commentary to a different level you have set the bar,positive
what a wonderful recap by harsha its a privilege to hear you,positive
why no mention of hardik pandya,negative
world cup with four decnt teams well done,positive
sir you not mentioned hardik pandya if you look at our wc campaign he is unsung hero,positive
wait harshayou forgot hardik pandya,negative
excellent voice of over mrharsha as a leader how to make a team and continuous performance its only because of rohitits applicable in a working environment,positive
its sad that he did not mention hardik pandya and surya kumar yadav they too deserved some praise are u lapping up to glory only bhoglejee,negative
eagerly waiting for the team of the tournament,positive
so beautifully put in words harsha you are also the best of your kind i almost thought you forgot bumrah,positive
how can you not love this man harsha bhogle such a nice explanation great choice of words so much love for the game still very humble after achieving so much,positive
why not selectors request rahul dravid to not leave and be coach for a few more years because once a new coach will come then we do not know if the team will be same or some sort of conflict of interest will come in between and that will take team down like it happened during tenure of greg chappel,negative
what a memorable day what a collection of photos,positive
indian team choked sa in the same manner they choked pakistan in early stages of this world cup this showed the steely mindset of the indian team in the ground not allowing opposition to survive in the crunch period rajul dravid needs special thanks for transferring that steely spirit of his to the current indian team,positive
the age does not spare anybody and thatis why the two stalwarts of india rohit and virat have retired i wish them all te best let us see how long tey serve the indian cricket as a player,negative
id rohit qas made captain earlier we would have many world cups thank you dada for making ro captain,positive
barbados or moon indian flag flies high,positive
sirji you forgot to mention sky,negative
cant sleep the whole night,negative
many who once praised the relentless spirit of the australian cricket team now celebrate the indian teams triumph win or lose we are indians unwavering in our belief today let the world embrace the indian mentality steadfast resilient and always believing in oneself,positive
rohit sharma deserved this as captain after a lot of criticism he is born to win,positive
finallythe burden of kohli rohit lifts and india can build a better side jadeja should be retired forcibly if he wont go easy,positive
waiting to hear such commentary from harsha sir after victory hearing in loop in your voice,positive
no one can recap this better than you harsha you also deserved this victory as much as the players did your the goat of all the commentators,negative
harsha you are the best when it comes to appreciating amp expressing the moment god bless you many many more years of great commentary,positive
no one better to hear than from other than harsha bhogle,positive
i was emotional when sachin and dhoni were retired and i cant control my emotions when virat and rohit will retire,negative
why does he forget hardik,negative
team india the unbeatable,positive
a tournament bto say,positive
no hate for anyonebut virat showed today what he is the goat he might fail is a situation where everyone is successful but when everyone is failing thats when he shine,negative
hi harsha i still remember how you hated kohlis celebration and being in the face of opponents i am glad you came around,positive
rohit winning team virat mom bumrah mos arshdeep match winner hardik game changer axar bappu tum kamal che surya ball cant pass sky its struck in thier,positive
its only harsha who can sum up a brilliant tournament like this for me,positive
the feeling of life is beautiful after this extremely well deserved indian victory thank you team india,positive
my favourite commentator and best cricket expertwho always talks senseone and only harsha bogle beautifuly narrated the story of the match and the about the legends in indian cricket and india future in cricket,positive
why no hardik amp sky i feel bad that no one mentioned about hardik is critical reason after bhumra for us to win this world cup,negative
kal raat bahut roya tha,positive
are yar bhogle why did you forget hardik,negative
harsha sir your video really made me emotional,positive
thanks to bumrah and arshdeep in death overs with hardik giving wickets i literally started crying when klaseen hitting big sixes,positive
it gives goosebumps when you describe with such emotionyou are also by far the greatest ever commentators that india has ever producedyou are the best,positive
rohit sharma is the new legend in indian cricket history,positive
you forgot hardik,negative
i wish you had also spoken of suryas catch because hearing from harsha describe a moment is like symphony i feel that catch was a touch of god equivalent of moment which maradona had in argentinas victory and bumrah is sent to us by god in that moment of despair when were heads were down,positive
well played and well deserved champions of cricket,positive
channel collect all jahil including you and michal vaughn doggy doggy hota hai,negative
what about hardik he deserves a lot of appreciation for his bowling in finals and batting contribution in final overs through out the series,positive
only difference is jaspreet bumrah,positive
bumrah the hero for sure,positive
virat sir why,negative
bruumraahh,negative
im still crying,negative
sorry hardik as rcb fan,negative
if klassen will stay an another over then the wc will be gone thanks god,negative
sorry hardik and long off,negative
vkkkkkkkkkkkk,negative
jaduuuuuuuuuuuuuu,negative
sorry hardik amp sky,negative
sorry surya sorry,negative
sorry hardik god,negative
virat goat surya goat rohit goat axar goat dube goat kuldeep goat bumrah goats ka baap sab ke sab goat he saale,positive
hardik panda bowling surya catch rohit captaincy virat inning agar inning all salute,positive
sach mein dil of the tournment asingh,positive
dil of the tournment asingh,negative
bro we all forgot ravindra jadeja retirement he was also a legend,positive
sorry surya bhau and sorry kung fu pandya,negative
sorry hardik and surys,negative
sorry hardik bhaiii,negative
never under esimate hardik,negative
harkdik bhai zindabad zindabad zindabad sorry hardik bhai we love you surya bhai zindabad and sorry,negative
sorry kun fu pandya and sky vai suryakumar yadav literally sky no limit,positive
one salute for jay shah bhai,positive
sorry harik,negative
hardik pandya and surya kumar yadav respect button,positive
me mumbai fan,positive
sorry hardik surya kumar yadav,negative
bro forget his name was pahul btw lehra do,negative
surya that catch was not fair he clearly touched the boundary,negative
jadeja ka retirement,negative
sorry kung fu pandya maff kardo ham bhi to insaan ha na,negative
sorry surya hardik pandya,negative
sorry shivam dubey,negative
bhaiya jadeja par ek video banao please,positive
jaiswal next opener,positive
sorry for all the india team,negative
last clip was personal,negative
sorry dude,negative
sorry hardik panday,negative
sorry hardik i never criticize you intentionally it was just situation,negative
oh the cashback has been a lifesaver for me more than once it helps take the sting out of a loss,positive
theres also that cashback offer its a good fallback for when luck isnt on your side,positive
exactly its like getting rewarded for staying active i tend to go for those especially when the slots arent treating me well,positive
i saw those planning to use one on my next deposit its perfect for regular players right,positive
thats smart i might spread mine across a few different games have you tried the roulette bonuses,positive
oh absolutely i signed up with that and it really padded my account made trying out all the different games a lot easier,positive
im planning to use mine on some cricket bets theres a great match coming up this weekend,positive
lets do it the more the merrier and with those bonuses we could have a real betting feast on our hands,positive
thinking about bringing in some friends with that referral bonus they offer its a winwin for both sides,positive
that cashback was a lifesaver last week its comforting to know you get something back after a rough day,positive
did you see they offer cashback too its like getting a safety net when things dont pan out,positive
yeah those come in handy especially when luck isnt on your side keeps you in the game longer,positive
are you going to go for the reload bonus next its great for keeping the action going,positive
good choice i spread mine across a few games including roulette they really do have a nice selection of bonuses,positive
yep planning to use it for some cricket betting theres a big match ive got my eye on this weekend,positive
i did grabbed it the moment i registered gives you a nice little boost to explore the games you thinking of signing up,positive
considering the reload bonuses for next time they seem like a solid choice for keeping the momentum,positive
smart move i went with roulette and a bit on blackjack the bonuses make a big difference what games are you eyeing,positive
im thinking about it especially with the cricket season heating up seems like a good time to take advantage of the extra betting power,positive
absolutely i signed up and used that bonus right away its a great way to start exploring their games have you decided to dive in yet,positive
yuvraj also won every world cup,positive
richard kettleborough still there,positive
sorry har,negative
their tech keeps all my deposits safe and makes withdrawing winnings easy as pie,positive
good to know im going to try out the latenight slots theres a night owl bonus for playing after midnight,positive
not yet but i saw theres a loyalty program too earn points for playing and get exclusive rewards,positive
awesome ill log in this weekend then have you joined any of the live game shows theyre a blast and have unique bonuses,positive
yep they do weekend specials actually extra spins if you play on saturdays,positive
thats cool do they have bonuses for wheel games too i heard those can get pretty exciting,positive
totally and if youre into crash games they have daily bonuses i won some free plays yesterday,positive
oh nice i was actually looking at their welcome bonus its pretty generous got some extra cash to play with,positive
not yet ive been glued to the cricket betting theres a match bonus for new games did you know,positive
sorry shivam dube,negative
sorry hardik sorry suryakumar and sorry dube,negative
long off long off surya kumar yadav na pakra ha apni jindagi ka sabse important catch,negative
kohli ki inning,positive
bahi aap itne fit kaise rehte,positive
fruity,positive
sorry hardik dil se,negative
as rcb fan sorry hardik,negative
happy retirement gujarat ka lion jadeja delhi ka king virat mumbai ka sana hitman,positive
you poop,negative
last clip wos epic,positive
respect for jay shahpraful,positive
sorry hardik and surya im mumbai fan,negative
champion ilove you my boys proud of india team,positive
ganguly also won a icc trophy for us but we,positive
but one or retired name is ravindra jadeja,positive
sorry hardik sorry surya i mean sir hirdik sir surya,negative
treva stravenue,positive
ham jeet gaya,positive
sorry hardik pandey sir,negative
sorry hardik sorry hardik sorry hardik sorry hardik sorry hardik sorry hardik sorry hardik sorry hardik sorry hardik sorry hardik sorry hardik sorry hardik sorry hardik sorry hardik sorry hardik sorry hardik sorry hardik sorry hardik sorry hardik sorry hardik sorry hardik sorry hardik sorry hardik sorry hardik sorry hardik sorry hardik sorry hardik sorry hardik sorry hardik sorry hardik sorry hardik sorry hardik sorry hardik sorry hardik sorry hardik sorry hardik sorry hardik sorry hardik sorry hardik sorry hardik sorry hardik sorry hardik sorry hardik sorry hardik sorry hardik sorry hardik sorry hardik sorry hardik sorry hardik sorry hardik sorry hardik,negative
garden me guhmna wale ladke world cup jeetgya,positive
its been a month but still happies me,positive
he is irreplaceable hardik pandey hit kerdi bro,positive
mai to khusi ke maare kitne ghanto tak royi thi,negative
happy retirement jakoro,positive
sorry hardik sorry hardik sorry hardik sorry hardik sorry hardik sorry hardik,negative
sorry hardik bhaiiiii,negative
hi yess boy gods plan baby gods plan,positive
sorry hardik sorry surya bhai,negative
sorry hardik please,negative
proud of our team,positive
sorry hardik sorry hardik sorry hardik sorry hardik sorry hardik sorry hardik sorry hardik sorry hardik sorry hardik sorry hardik sorry hardik sorry hardik sorry hardik sorry hardik sorry hardik sorry hardik,negative
sorryyyyyyyyyyyyyyyyyyyy hardik,negative
me na kabi hardik ko hate nahi kiya,negative
bhai panoty umpire ki rehete ham world cup kesse jit gaye,positive
sorry hardik sorry hardik sorry hardik sorry hardik sorry hardik sorry hardik sorry hardik,negative
cursed finished third umpire richard kettleborough,negative
sorry hardake,negative
who was trolling the king kohli sorry button,negative
saala pahul video kab dale ga rip pahul,negative
as a pakistani and football and cricket are the best sport,positive
sorry hardik and surya and shivam dube,negative
sorry hardik and surya and duba,negative
sorry fucking hardick,negative
sorry hardik i never trolled him but still,negative
feeling sad for kholi amp rohit retirement,negative
bhaii ape video me background indian team wallpaper lagvo,positive
srry hrdk,negative
sorry harry bhai,negative
new video when,positive
pahul bhai india zimbabwe series ki video banao,positive
ipl kee video,positive
last part was the best,positive
sorry hardik sorry surys,negative
ipl awards video kab aayega,positive
no its not fair umpire should gave six to last that boundary while sky catched its scripting yaaar brother,negative
team india win,positive
rip pahul,negative
rohit or kohli goat hai jo manta hai like kare,negative
bhai ab to ipl awards wali video dedo pahil bhaya,positive
bhai an new video kis topic par ayegi,positive
gautam gambhir head coach ke liye video banaoe,positive
sorry hardik and also we should produce more allrounders like hardik new gen players nitish reddyetc,negative
congrats team india love from pakistan,positive
ye bacche hanunan ji ki shakti bhuul gaye the,positive
kum fu pandya,positive
love you all boys love youuuuuuu,positive
hardik pndya ko kabhi hate na dene ka ghamand hai,negative
congratulations team india you guys really deserved it from pakistan,positive
last thing was reletabale,negative
aapp bahaut cute ho bhaiyaa,positive
australia is your papa,positive
kaash roko ki achi opening partnership dikh jaati iss world cup mei,positive
tum nahi haam sab jit gaye,negative
sorrrrryyyy hardik bro,negative
india won by how many runs thala for a reason,positive
jaddu bhii,positive
love him or hate him we only have one hardik pandya and he is irreplaceable your appology needs to be as loud as your disrespect was the lines he said gave be goosebumps please pin for me,negative
bumrah ke saamne betters kaanpte hai,positive
in l,positive
im so sorry hardik,negative
chapri hardik pandya not champion hardik,negative
bhai yuvraj singh also has a winner of all icc trophy,positive
freaking hardik pandya bhai sorry jai ho surya bhau,negative
proud our boys,positive
please consider jadaja whole career,positive
congratulations team india you guys really deserve it,positive
legends rohit sharma and virat kholi hardik pandya and sky,positive
klassan,positive
jai sree hari narayan,positive
proud of my india,positive
champion hard hitting and kungfu pandya,positive
dont compare rinku with dubey rinku is far better than dubey,neutral
iccindien cricket council,positive
end me quotpapa world cup jeet gayequot was epic,positive
sorry hardik suriya,negative
this cinema should be awarded best happy ending ever,positive
i never troll surya and hardik dukh toh hua tha jab hardik bhai mi me aaye aur team management rohit ko hatadiya lekin log team management se gussa hona chahiye na ki hardik pe,negative
sorry hardik bhai full support hp,positive
sorryyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyy hardik and sky,negative
happy retirement rohitkohli and jadeja thank you boys and team india proud,positive
only wtc left for virat,negative
sorry hardik really sorry i truly apologize for all the criticism and hate,negative
south africa sari umar joker sari umar choker,negative
yayyyyy,positive
finally the curse of richard kettleborough broke,negative
msd,positive
video ke end mai,positive
hardik pandeya,negative
ab pahal kaha gaye tumahara hardik pe jokes hard pandya pahal,negative
india is finally won where is richard kettle brough pakistan miller catch is cheating india,positive
but ma ipl ma bhe support karta tha hardik ko iske liye mere mohalle ka log bhi mere ko troll karta tha,negative
bhai suryas catch under pressure and hardiks final over will always be remembered in history hardik ne sach me dikhaya comeback kya hota hai mental strength kya hoti hai abhi bhi dil manna nahi chahta ki roko retire ho rahe hain,positive
bumrah is truly deserve bharat ratn seriously,positive
see idk why people dont take ipl seriously bro its also a cricket match ipl is not played for timepass man btw no hate,negative
boooooooom hardik,negative
rohit kohli jedeja s retirement is so sad,negative
end of a golden era,negative
indindindindind hindustan hamara,negative
kohli bhai to ipl nahi jeeta hai rcb ke saath moye moye,positive
yahan se achcha hindustan hamara,negative
jajeja rohirat also retire,negative
india cheating krke jeeta ha,negative
harpreetsingh,negative
surya doesnt take the caugh of miller because it six india never won any world cup without cheating real champion is south africa india losser always cheat every match surya taken miller caugh in the boundary line it six so south africa won the world cup but india cheat and won the world cup losser india losser dog india losser always chet never won a world cup without cheating mantail dog india,negative
aur sab thik hai lekhen match jitne ke badh sab benstocks ko kyu yadh kar rahae tea,negative
end of the golden era rokojaddu happy retirement,positive
king has completed,positive
sorry hardik i have not troll you but those have troll you so i am telling you sorry,negative
chak de,negative
hardikviratrohitboomrahdhoni are legend,positive
hila dala na,positive
yah jaruri tha kya rohit bhai virat bhai kyon le li retirement,negative
surya bhai ne bola hai aapki property ka paper meko dene mein yunko de dunga yunka chota bhai,positive
sorry hardik and sury,negative
rona aa rha h roko kyo dil todwa dia india ka,negative
sorry hardik and surya bhaaauuu,negative
ab nahi karo ke shivam dube ko target unsubscribed,negative
sorry hardik and surya both,negative
sorry hardik bhaiiiiiiii,negative
sorry h s d,negative
bhai jadeja na bhi retirement announce kar dia ya,negative
vote for ipl rewards trophy,positive
bhai me pakistan se hu leken jo perfomance india ne de he na its mind blowing agar yaha pe humare team hote to sabke shoulder latk jate by the love from pakistan,positive
bhai please,positive
lockdown kids trolled dube but blud proved he is clutch by performance in finals of both ipl amp wc,positive
goutam gambhir be like ek catch ne match nhi jitaya,positive
aaj mera birthday hai par kisi ne wish hi nahi kiya,positive
sorry hardik i am csk fan,negative
world cup pranoti,positive
sorry hardhik sorry suraya,negative
mi aur dc vasool hui pure tournament me,positive
bahut achi baat hai,positive
sorry hardik sorry surya all mumbai fans like,negative
yes we won by cheating invalid catch clearly not by his leg touch but by other reason i can prove just ask me,positive
sorry hardik and surya dada,negative
attendance who never trolled hardik in his tough times,positive
we won the match because of harpreet singh kohli,positive
wtc world bhi jitenge,negative
respect from hardik amp surya,positive
awards video kab aayegi bhaiya,positive
klasan out n hota to gua tha match india deserve nai krti world cup abi bi,positive
i am bangladeshi nad all love to hardik but not team india,negative
surya bhaiiii,positive
rohitkohli and jadeja i think they have taken right decision to give chances to youngsters now note they will continue to play odi and test,positive
india will remember this legendary all rounder fielder forever sir jadeja happy retirement legend,positive
surya ka catch marne taaak yaad rahega,positive
bhiyaaa ind vs zim par bhi vedio banana,negative
sorry hardik pandaya and sky bhau maf kardo mujhe,negative
bro i cant celebrate because of my accident,negative
will virat kohli play odi,positive
rohit bhi na sota vakt dal di trophy ka sath photo,positive
yuvraj and kholi was the only player who won every trophy that johns mention,positive
chapri harpik,positive
sorry hardik and happy for evrything,positive
harpic panda hardik the champion,positive
pura jersy kardo,negative
pahul bhai ab orange jersy pura kardo aur sorry bolo apne jersy ko surfexcel kaha thaa,negative
sorry pandya sorry sky,negative
maine kaha tha ki virat aur dube chalega,positive
sorry suriya,negative
jaiswal rinku sumsung khalil garden me ghumne wale bande,positive
gt fan hoke bhi hate nahi kiya,negative
bhai rohit kohli retire to ho rahe but kisi ne jadeja ne ki baat nahi ki aaj gambhir ki baat yaad aa gyi,negative
hardik clutch pandya,positive
very nice team india love from pakistan,positive
even ravi jadeja,positive
sprry hardik,positive
sorry hardik and sky happy retirement viro,positive
goods plan baby,positive
maine to bola hi nahi phir bhi sorry hardik the kumfu pandeya,negative
sorry hardik sir you are a true legend of india,negative
sorry hardik kungfu pandya,negative
pahul,positive
sorry hardilk,negative
hardiik jaspriit arsdiip,positive
king kohli ke pas bas ipl trophy nahi hai bro,positive
bhi jadeja retare hogya,negative
sori suriya,positive
pls guys support,positive
catch nehi tha touch howa tha boundary ke sath,negative
thank you rahul dravid happy retirement,positive
muthhi mar do kisi ki sapna nhi na yr,negative
and wtc also,positive
indy,positive
everyone forgot mba chai wala,negative
bhai ab tu views kaise kamayega,positive
hardik respect button,positive
feel for south africa,positive
sorry for team india,negative
sorry hardik bhai im a mumbai fan,negative
kl rahul best,positive
bhai next target kiya hi,negative
sab sorry hardik and surya lihko,negative
bhai jadeja bhi retrierd,negative
why ro ko why retirement,negative
happy retirement to rohit sharma virat kohli jadeja,positive
ham jeet gaye bahut jada khushi hui but agar shubman gill hota to aur bhi bahut bahut bahut bahut jada khushi hoti,negative
im happy four m,positive
no one is talking about the captaincy of rohit sharma the captain of the centary,negative
sorry hardik bhai and sorry surya bhai,negative
ben stocks pandya sir ko kise gali de tu ne mafi mango jis jis ne us time me bad comment kiya pandya,negative
papa retired now daddy come babar azam,positive
barrio jani,negative
soory hardik we boed you in ipl to much but the indian mvp hardik pandya,negative
om namah shivaye,positive
live stream pe pahul ki nazar lag gaya,positive
yuvraj already done before virat,positive
yayyyy finally cup is coming home indiaindiaindiaindia,positive
congratulations to all indians i am happy that the trophy came back in asia after so longg love from pakistan,positive
congratulations from,positive
