Cleaned_Comment,Predicted_Sentiment
wah what an edit,NEUTRAL
india father of pak pak father of east india khangladesh india grandfather of nagin dance,NEUTRAL
indians greatness button gtgtgtgtgtgtgtgt,NEUTRAL
sa is greatest choker team ever in international cricket,POSITIVE
india is official father of pakistan and official grandfather of bangladesh,NEUTRAL
india is daddy of pakistan,NEUTRAL
plz icc share full highlights,POSITIVE
highlights daalne ka kasht kab karoge,NEUTRAL
well played sa love from,POSITIVE
the moment when surya took the stunner cheer and roar from crowd next level india broke the jinx in style,NEUTRAL
first comment for india,POSITIVE
rohit sharma is not just a name it is an emotion,NEUTRAL
we pakistanis were ready to make south africa our new father until next world cup very very sad i think that catch was six,NEGATIVE
rohimess,NEUTRAL
ye catch nhi ye match nhi ye trophy hain,NEUTRAL
was waiting for this montage video from icc,NEUTRAL
indan,NEUTRAL
no of likes no of hearts for rohit the hitman,NEUTRAL
bumrah papa of starc,NEUTRAL
pls upload closing monatge,NEUTRAL
i n d i a,NEUTRAL
nice jai hind vandee mataram,POSITIVE
rohit bhai ke liye like kre,NEUTRAL
icc pls upload whole tournament montage pls,POSITIVE
hhh,NEUTRAL
first comment from bangladesh,POSITIVE
hamare bharat mahan hain,NEUTRAL
roooohitman,NEUTRAL
jai shree ram jai india,NEUTRAL
love u india,POSITIVE
here we go,NEUTRAL
we are indian,NEUTRAL
i am from india the world champion o god indians are now getting famous because of comments too,POSITIVE
what a victory,NEUTRAL
nyss,NEUTRAL
indiaaaaaa,NEUTRAL
first view pin me icc,POSITIVE
congratulations pakistan your father win the wc,POSITIVE
respect button,NEUTRAL
awwww,POSITIVE
i love icc,POSITIVE
they forgot to include the poor crowd management and stampede that occured because of that some people were hospitalized because of it money stolen,NEGATIVE
india is to cricket as argentina is to football,NEUTRAL
we really lack in crowd control management we can do better than this,POSITIVE
india is a cricket crazy nation,NEGATIVE
bonly team to win the tournament in its history who lifted the trophy undefeated and undisputedb,POSITIVE
i love cricket as a game but not when it acts as a distaction from major political issues we shouldnt be celebrating,POSITIVE
they acted as if they won the real world cup lol,POSITIVE
thousands it were in lakhs or kks,NEUTRAL
wrong title not thousands million,NEGATIVE
congratulations india from argentina,NEUTRAL
i wish all these people come every week to clean up the streets and rivers help the poor serve the community,NEGATIVE
guardian showing positive news about india,POSITIVE
imagine of smell,NEUTRAL
congratulations to india from afghanistan,NEUTRAL
theres a mistake there were lakhs of people on the road that night,NEUTRAL
millions people,NEUTRAL
it is not thousand its millions,NEUTRAL
this is what happens when dreams come true,POSITIVE
cricket is religion in india as you can see,NEUTRAL
all unemployed gathered,NEUTRAL
thought i would come across grumpy comments from british people this section,NEUTRAL
what is thousands,NEUTRAL
thanks guardian,POSITIVE
i got traumatized by the comments on insta on the same video so i came here to heal myself,NEUTRAL
if only the crowds had shown this much enthusiasm to get out and vote during the election,POSITIVE
still cant sync best experience ever till now,POSITIVE
congratulation to india from mexico,NEUTRAL
east pakistanis are crying in the corner,NEGATIVE
i love australian cricket team they are at top second is india,POSITIVE
sea of unemployed fathered for a cwg sport,NEUTRAL
gotha goosebumbs da,NEUTRAL
congrats india from philippines,NEUTRAL
sri lanka,NEUTRAL
millions,NEUTRAL
fun fact indian cricket team is not indian government official team it is a team private organisation bcci,POSITIVE
proud moment for india jai hind,POSITIVE
and they say argentina wc victory celebration is the best in the world lol,POSITIVE
thosands of fans guardian sport or in millions,NEUTRAL
hats of to the driver,NEUTRAL
how the atmosphere there,NEUTRAL
thousand,NEUTRAL
unemployment at his peak,NEUTRAL
cricket,NEUTRAL
i cant imagine the stench in that gathering,NEUTRAL
our pakistani team has better players than indian team,POSITIVE
lost to zimbabwe,NEUTRAL
best coach rahul dravid,POSITIVE
jai jai jai jai bhim,NEUTRAL
super duper,POSITIVE
theyre billions,NEUTRAL
best scripted world cup,POSITIVE
imagine the bo stink,NEUTRAL
wow congratulations from nz,POSITIVE
bcricket is the best sportb,POSITIVE
if these many people get together for a day and plant treesor clean thier respective citiesvillagesor get together like this and pray to thier respective gods and gurus yo free india from corruption at least one persons prayer will be heardmany things like this which is useful for the country can be doneif so many people get together in a stadium and discuss with prime minister and give ideas about employment generationor discuss with prime minister what as we citizens will do every month for our country to progress,POSITIVE
proud to be indian cricket team fan cricket,POSITIVE
the best match more interesting than fifa wc which argentina won,POSITIVE
wonder if any had covid,NEUTRAL
no one does it like india in cricket,NEUTRAL
more like hundreds of thousands,POSITIVE
days how a nation celebrate victory not like people of australia,NEUTRAL
its just cricket whats the big deal boring hate cricket on a tired day watch cricket and fall asleep,NEGATIVE
thousands seems like millions to me,NEUTRAL
new indian,POSITIVE
mumbai,NEUTRAL
they were in millions not thousands,NEUTRAL
all records are broken,NEGATIVE
not a single word for catch of the decade in wc final sky deserved a note from the genius,POSITIVE
rbt ke deposits and withdrawals mein koi issue nahi super reliable for ipl,POSITIVE
rbt platform fair betting ke liye best hai ipl ke liye top choice totally reliable,POSITIVE
the rbt platform is very responsive perfect for ipl lottery no waiting or loading issues,POSITIVE
harsha you are the bestwhen it comes to narrating cricketing stories,NEUTRAL
i m more about the long game with cricket analyzing the players and conditions makes the bets more interesting,POSITIVE
true the live casino games have that personal touch which makes it more engaging ever tried poker there,POSITIVE
roulettes been my goto theres nothing like the suspense of that wheel spinning,NEUTRAL
yeah i spent last night at the live casino its like theyve brought vegas right to our screens,POSITIVE
i thought it would be easy to verify my account but it took forever is it just me or,POSITIVE
i find depositing easy enough but the verification is such a hassle does anyone else feel the same,POSITIVE
mi missed a legend to lead them,NEUTRAL
i think whoever wins the world cup u will c one thing common the entire team performs no individual can win win u the world cup so today we witness how the champion team performs,POSITIVE
giving mvp to jasprit bumrah was seriously a no brainer he was on another level,POSITIVE
harsha bhogles any audiospeech is far better than sanjay manzarekars entire career,POSITIVE
i just cant with peoples opinions on virat bc it is absurd and it has been for too many years now it is beyond foolish the man was literally the man of the tournament a few months ago at the world cup like have some faith,NEGATIVE
only thing you forgot was skys catch otherwise miller would have finished it with ordinary bowling for hardik outside off full toss we were lucky hardik was lucky,POSITIVE
he missed hardik in that list and its a big miss,NEUTRAL
there was no ugliness in that game made it beautiful would have been tragic if india didnt win but beautiful still indian fans may this victory help us grow as humans that we realize the thrill and fun in sports salute the dignity and pride of the opponents the preciousness of the moment and accept the vagaries of lady luck and fate a victory for the masses like this helps to grow the hearts of those who were deprived of such joys next time lets wish our players all the success for not representing india alone but for the sacrifices they make to give us these moments,POSITIVE
the voice of my childhood,NEUTRAL
no hardik,NEUTRAL
am so happy you mentioned arshdeep i think his performance requires way more appreciation kudos to the selectors for picking him above the many others who were in contention for the spot and to the team management too for playing him ahead of siraj who i am sure would have done well too if given a chance bumrah as weve seen in the ipl can bowl incredibly on his own but he is lethal when he has the right partner with him ie trent boult shami or siraj on a good day heres hoping arshdeep continues his growth in red ball cricket as well as some of the old guard like umesh yadav and ishant sharma hang up their boots rohit kohli and jadeja now need to focus on wtc and champions trophy and am sure they will come up with a great game plan for those too personally i feel its time for india to have two coaches to go with the two captains maybe gambhir for white ball and laxman focussed on wtc,POSITIVE
forgot to mention about sky two beautiful innings and a world cup winning catch,POSITIVE
sycophant brown sahib,NEUTRAL
sorry to correct you harsha sir but jasprit bumrah is not the best white ball bowler in the world he is the best bowler in the world whitered or pink,POSITIVE
but who will replace once in lifetime players,NEUTRAL
harsha bhai you left out sky in your wrap up very nice piece,POSITIVE
i dont think theres a better voice of cricket for india then harsha bogle,POSITIVE
you made me cry,NEUTRAL
wonderful team they really played for the country,POSITIVE
harsha you again made us cry your commentary is as good as the final you are a gem,POSITIVE
harsha as ever is the best for me as a fan with due respect please dont pick a side in ipl im a csk fan and it did hurt when i see you pick an opposite side,POSITIVE
captaim rohit sharma he changed the mindset of this team,NEUTRAL
congrats team poorindia aussie glenn mcgrath is new father of poorindia shameless nation,POSITIVE
cricbuzz can you please tell me the background music name of this video very inspiring one,POSITIVE
harshahow could you have missed hardhik,NEUTRAL
no strike rate issue from now,NEUTRAL
im here watching this since last two days and coming back again to listen to voice of cricket and his way is summing up whole tournament,POSITIVE
trending in telugu,NEUTRAL
harsha your words are not just words but magic,POSITIVE
harsha bhogle commentary the definition of inane soporific,NEUTRAL
can we please have an interview for all the former captains and vice captains itd be a dream come true,POSITIVE
kuldip yadav dont forget him good summary overall,POSITIVE
yes great days ahead definitely,POSITIVE
you were the best to be interviewer of virats last post match interview,POSITIVE
harsha you are also a gem,NEUTRAL
quotbut what does teamwork really mean anyway is it just about rescuing and protecting each other there are people who believe that but to me that just sounds like kids playing around everyone should do what they can with their lives on the line and then say to the next guy i did what i could now its your turn if you dont finish it ill come kick your assquot quot source one piece,NEGATIVE
excellent work harsha,POSITIVE
a word about sky amp hardik would have been made it complete,POSITIVE
virat kholi is the closet batsman to sir donald bradman,NEUTRAL
hate harsha he could have spoken same way about rohit like he spoke abt kohli rohit smashing starc etc he is biased there are so many cricket fans for whom rohit is such a special talent greater than virat kohli,POSITIVE
sky is so underrated he missed this list as well,NEUTRAL
you are the most anti india tv commentator on tv so shut up,POSITIVE
for you commentary is so good for you listening to cricket is a pleasure harsha you goat take a bow,POSITIVE
harshas commentary is like poetry he is my all time favourite commentator like tendulkar players like virat kohli know when to bow out what i really look in a player is that despite all the wealth they have created their passion when they are on the ground is simply unbelievable i have never once seen virat kohli looking apathetic on the field,NEGATIVE
can u also plz speak about hardik pandya would love to hear your thoughts,POSITIVE
congratulations to every cricketing fan of my country india,NEUTRAL
what a great tournament for uswe conquered it,POSITIVE
this one was from the,NEUTRAL
great indian cricket team,POSITIVE
thanks harsha for your great service to the indian cricket,POSITIVE
india did it for india and we did it for dravid,NEUTRAL
sorry harsha bhogle you should have said quotgiving us a tournament to savorquot,NEGATIVE
dravid the real proffessor,POSITIVE
its really a chunk of innovative definition from harsha sir,POSITIVE
hello i think you missed surya kumar yadavs contribution and his magical catch,POSITIVE
harsha you said bumrah is currently the best white ball player at the moment do you know a better red ball bowler than bumrah,POSITIVE
thank you harsha for wonderful words on wc win even though you missed sky,POSITIVE
hindu united prosperous no more deshdhrohis positive vibes to all om namah shivaya,NEGATIVE
bumrah is lord buddha of bowling he is calm doesnt say much yet his balls does the talking amp means a lot,POSITIVE
harsha bhogle what a oratory skills amazing the way he speaks and knowledge of cricket,POSITIVE
and sir its very sad that you forgot to mention about the match winning catch by suryakumar yadav,NEGATIVE
and this was all possible only after dhoni became captain his captaincy speaks in all these players mentioned,NEUTRAL
yeah for a change the indian team was greater than the sum of its parts,POSITIVE
just like the best cricket team in the world right now you harsha bhogle sir are the best commentator thats ever lived you also are a living legend who the whole world loves to listen to will watch cricket matches on mute if you ever decide to retire you certainly are masterclass,POSITIVE
we are proud of our team,POSITIVE
from ages billion hearts are bleeding now they are healed and blooming with smile and love kisses and blessings and prayers to india team and kohli and rohit,POSITIVE
modi is disaster trump is disaster meloni is disaster marine le pen is disaster geert wilders is disaster etc etc etc but what lies in ruins is your understanding of what the common people across the world want,NEGATIVE
whenever harsha sir speaks we get goosebumps,NEUTRAL
forgot about hardik and surya sir,NEUTRAL
its not out how third upmire missed that boundry line is already pushed back see the boundry line marks sky catch,NEUTRAL
why is there no mention of hardik pandya,NEUTRAL
i think bro has some issues with hardik pandya,NEUTRAL
congratulations to team india thank you team india amp all the best for the tournaments in the upcoming future jai hind,POSITIVE
rahul dravid himself wouldnt have thought he would win a world cup even after his retirement,POSITIVE
what a finala day to cherish foreverand at the same time feeling sorry for proteas as wellgreat game guys,NEGATIVE
wow harshas made me emotional here put that wc win into great words it was a collective team effort amazing to see,POSITIVE
harsha bhogle for a clear picture of indian cricket,POSITIVE
harsha sir described whole world cup in very nicely,POSITIVE
listing to harsha bhogale is like poetry of indian team victory story got emotional,NEUTRAL
india will probably get another kohli or rohit but im not sure well get another bumrah theres not a single bowler in sight that comes even close to him,NEGATIVE
champions india looser pakistan lol,POSITIVE
why no comments on pandya he was spectacular,POSITIVE
harsha voice makes me cry,NEUTRAL
axar patel for me was the player of the tournament,NEUTRAL
sorry harshathere is no red ball bowler like bumrah too he will achieve a lot more with test championships and other trophies we are just blessed to live in the bumrah era,POSITIVE
you forgot hardik pandya in the list i clearly remember you mentioning a few months back when hardik was being given a hard time for replacing rohit you mentioned if india has to do well in the world cup hardik will have to do well salute to your cricketing acumen and insight,NEGATIVE
congratulations team india proud of you guys keep going god bless india both the hit man and the king are geniuses the true sons of the soilmiss you both guys,POSITIVE
gambhir can finally build a good side with all rounders,POSITIVE
salute to dravidcoaching staff and playing squad,NEUTRAL
beautiful wordsharshayou too are a legend,POSITIVE
nice one harsha very motivating,POSITIVE
bharat mata ke jai,NEUTRAL
rohit sharma and virat kohli s retirement its create a new era of indian cricket cause of new generations motive as australia and england always did,POSITIVE
axar patel must be mentioned for his all round contributions in some tough times,NEGATIVE
oh boy thats how u sum it up in symphony,NEUTRAL
the coach dravid is too young to walk away from the game if the next coach does not work out the board should tap him and bring him back for a full wc to wc term,POSITIVE
except jadeja everyone perform,NEUTRAL
india never appreciated and seen a bowling supporting country and jasprit bumrah changed everyones narrative how important and valuable a bowler is and what a bowler deserves just like a batsman,POSITIVE
eloquence amp lucidity while speaking the queens languagewonderful mrbhogle,NEUTRAL
forgot about hardik pandya,NEUTRAL
that crybaby mike v can go to that diagonalley with the help of harry potter and never come back he can cry the fluids out of his body nobody gives a dam,NEUTRAL
axar patel is the most underrarted of the tournament he has produced with ball bat field,POSITIVE
hardik should have been man of the tournament imo,NEUTRAL
the og harsha bhogle,NEUTRAL
when harsha speaks its cinema simply beautiful choice of words he always finds congratulations neighbour from pakistan,POSITIVE
one more reason india won absence of great k l rahul the time he has joinedindia could not win any icc trophy,POSITIVE
harsha who writes your lines please find someone better,POSITIVE
hardik pandya was the most consistent player through out the tournament and people are forgetting him hardik pandya contributed with both bat and ball in my opinion the world cup was brought home by him,POSITIVE
classy by harsha this victory wouldnt be complete without his video,POSITIVE
rohit erased the fear from the word go he is greatest captain and player i have seen rohit my cricketing viewership ends with himn,POSITIVE
era started with rohit,NEUTRAL
sir pardon me for me your voice has changed by your age you talk like great kapil dev its my opinion may be i am wrong,POSITIVE
beautifully said harsha ji,POSITIVE
namaskaram sir,NEUTRAL
hardik too,NEUTRAL
beginning to the end of this videofull of goosebumps goosebumps goosebumpswhy im crying,NEGATIVE
great team and great victory,POSITIVE
same energy as gambhir in the show quotaus ka bossquot,NEUTRAL
harsha your vocabulary is amazingly great,POSITIVE
didnt say a word for hardik and surya,NEUTRAL
how heartening to see kohli getting retired its all due to gambhir statement india dont need gambhir as a coach,NEGATIVE
im sure he didnt mean to but missed mentioning suryakumar and hardik he spoke about hardik in his personal vlog though,POSITIVE
i am always a big fan of harsha bhogles analysis and his command of english commentary,NEUTRAL
undefeated alpha team,NEUTRAL
rohit and virat im falling short of words to describe your personality two greatest sons india has ever produced,POSITIVE
the wall of india felt so happy to see him pumped up as he lifted the trophy what a true gentleman he is fan from,POSITIVE
you are my favourite commentator sir love u,POSITIVE
jasprit bumra won us the world cup,NEUTRAL
this win moment we celebrate but we are more emotions tears,POSITIVE
the way you sum up its amazing,POSITIVE
what jay shaw is doing there,NEUTRAL
did he not mention hardik pandya,NEUTRAL
great win india praise to rohits leadership praise to the whole team absolute respect amp happiness for great rahul dravid he deservs this win under har cap god bless india,POSITIVE
where are those people who insulted hardik during ipl he took those crucial wickets,NEUTRAL
you missed hardik pandya at the end,NEUTRAL
harsha you missed hardik,NEUTRAL
harsha storytelling just wow,POSITIVE
southafrica deserved this cup they played better than anyone else i am happy for india but southafrica were the true champions,POSITIVE
wow such beautiful harsha bhogle its always a pleasure to listen to harsha bhogle,POSITIVE
cant type too many feelings going on love you team india,POSITIVE
amazing tribute harsha always finds the right words for the big moments,POSITIVE
why did indias spin attack fail in the final,NEGATIVE
the voice of cricket harsha bhogle,NEUTRAL
harsha managing to make us teary,NEUTRAL
well said about virat kholinever doubted virathis name suggest his calibrevirat,NEUTRAL
excellent harshasummed it up perfectly,POSITIVE
you have missed hardik pandyas contribution,NEUTRAL
king kohli will always a legend a legend will never retire,NEUTRAL
sorry but are you biased against hardik,NEGATIVE
wow goose bump typical hb style nicely narrated sir,POSITIVE
all tears,NEUTRAL
harsha tried his best pulling virat down under the influence of a mumbaikar sunil gavaskar but both of them failed miserably,NEGATIVE
sky excellent catch in the last over dont forget this also changed the match in the last minutealso,POSITIVE
i was watching cricket for sachin once upon a timenow only for bumrahi will replay the match to see his bowling actionsall my youtube videos only bumrah s bowling,NEUTRAL
it is high time that harsha retires bored of u bro,NEGATIVE
would have loved to hear about hardik pandyas contribution in this wc,POSITIVE
you forgot kuldeep contribution in other games,NEGATIVE
damn the way you narrated indias journey made me start crying again,NEGATIVE
well said,NEUTRAL
i am emotional right now had a bad year personally but the win yesterday made my year thank you rohit virat bumra akshar arshdeep kuldeep hardik rishab and rahul dravid i will remember this for the rest of my life thank you thank you and thank you i love you all,POSITIVE
to also mention hardik pandya has been the unsung hero be it with the bat in the death overs or the ball in the clutch games against pakistan and finals he was the one following up the great bumrah overs equally well and making sure the impact is well and truly there the dangerous klassen and miller in the finals when they were on song is no joke pandya was trolled by the mi fans for whatever reasons now is the time to paint him in gold and own him hats off to pandya,POSITIVE
whats about sky,NEUTRAL
thank you cricbuzz,NEUTRAL
i wish k l was there,NEUTRAL
summed up like a pro oops harsha is a pro,NEUTRAL
i think harsh u have forgot to mention about hardik,NEGATIVE
thank you harsha,NEUTRAL
you are hero harsha,NEUTRAL
this was brilliantly put together,POSITIVE
this is best final,POSITIVE
why wasnt barbados pm called and asked to hand over the cup to winning captain,POSITIVE
de diye choco king nai,NEUTRAL
when harsha speaks it seems like poetry to my ears,NEUTRAL
harsha bhai apko hindi nahi ata paisa india ka khaoge and language britisher ka,NEUTRAL
perfect encapsulation keep them coming harsha,POSITIVE
this was the perfect world cup usa and afghanistan going the distance kohli showing up in a nailbiting final bumrah being otherworldly throughout the tournament no runfests the relaxed and cheerful crowds of the caribbean and so on and so forth couldnt have scripted it better,POSITIVE
hats off too two legends of the game,NEGATIVE
felt very uncomfortable when i saw the son of a dirty politician with our great team at the end,NEGATIVE
love indian victory jai hai,POSITIVE
to add to all of that suryas catch will be remembered for a long long time,NEGATIVE
soundtrack mammoth run by quiet lake,NEUTRAL
maybe this worldcup will be in their in biopic rohit as captain making india win and virat giving good score in the final,POSITIVE
an era ending on a beautiful notethank you for the emotions and entertainment rohit and virathappy and sad day,POSITIVE
harsha u missed hardik pandya,NEUTRAL
respect harsha immensely but why do most of the experts not talk about pants performances in detail he analysed axars dubes amp arshdeeps performances but about pant it was only quotin the early part of the inningsquotwhatit appeared as if his actual comments were edited pants performances were below par but nobody has called him out,POSITIVE
is this scene in broly movie,NEUTRAL
why cant i stop my tearsmiss you virat and rohit,NEUTRAL
forgot to mention suryas name his contribution with bat in earlier matches and match winning catch in final,POSITIVE
what a beautiful videostraight from the from the inimitable harsha,POSITIVE
was waiting for the voice of cricket mr bhogle to tell us on the match thank you sir big fan here,NEUTRAL
love from bangladesh sir harsha bogle,POSITIVE
now only test series win in south africa is left to be achieved we have come so near yet so far on many occasionssad for south africa as they will win a world cup surely in the near future for sure,POSITIVE
a match is incomplete without the post match analysis by you harsha thanks for being such an orator,POSITIVE
congratulations team you guys have got the sweetest and the great moments to celebrate love from pakistan,POSITIVE
brilliant exhilaratingindia winning the cup,POSITIVE
what about sa you are neutral right,POSITIVE
team india now time for champions trophy bring back home,NEUTRAL
so finally you realize harsha that you were talking about virat kohli,NEUTRAL
you forgot hardik pandya he is won the game actually,NEGATIVE
great day great analysis but you forget surya,POSITIVE
it feels like poetry when harsha describes this way,NEUTRAL
sir you missed hardik,NEUTRAL
rahul dravid made many loyal ict fans emotional,POSITIVE
you forgot to mention hardik pandya,NEUTRAL
amazing harsha beautiful summary of the world cup,POSITIVE
if you enjoy this video then like amp share with fellow cricket fans subscribe to cricbuzz channel for more stories around the game we love,POSITIVE
always as usual unless you hear it from harsha its not official yet,NEGATIVE
you are nice commentator,POSITIVE
harsha the way you summed up the feelings of common indian fanyou truly are the voice of indian cricket,NEGATIVE
arre sky his knocks in sf catches in final,NEUTRAL
you forgot hardik pandya at the end,NEUTRAL
bumrah arshadeeep sky won us the cup,NEUTRAL
such beautiful words thanks harsha for existing,POSITIVE
quotyuvraj singhquot quotaxar patel quot do we need a left hander allrounder reserved for a world cup every season,NEUTRAL
what does corporate harsha bhogle have to say about the ousting of rohit sharma from mi captaincy without informing him in advance how he has reposed confidence in hardik pandya despite the controversial recent past who is the true leader the real captain,POSITIVE
had india lost the kohli innings would have been criticised by the majority glad it didnt happen he deserves to be a champion thank you for the joy cheers,POSITIVE
unbelievable virat king kohli,NEGATIVE
sanju samson was not given a chance to bat why pant is still on the team,NEUTRAL
the highlight of the tournament was the knock of rohit that he played against the aussies consideding that he is gonna retired after couple of matches that set the tone for the rest of the team that no matter what just play these few matches out of your skin and snatch the trophy,NEGATIVE
congrats team cricket india,NEUTRAL
extend rahul dravids coaching contract,NEUTRAL
thanks harsha bogle for taking professional cricket commentary to a different level you have set the bar,POSITIVE
what a wonderful recap by harsha its a privilege to hear you,POSITIVE
why no mention of hardik pandya,NEUTRAL
world cup with four decnt teams well done,NEUTRAL
sir you not mentioned hardik pandya if you look at our wc campaign he is unsung hero,NEUTRAL
wait harshayou forgot hardik pandya,NEUTRAL
excellent voice of over mrharsha as a leader how to make a team and continuous performance its only because of rohitits applicable in a working environment,POSITIVE
its sad that he did not mention hardik pandya and surya kumar yadav they too deserved some praise are u lapping up to glory only bhoglejee,NEGATIVE
eagerly waiting for the team of the tournament,NEUTRAL
so beautifully put in words harsha you are also the best of your kind i almost thought you forgot bumrah,POSITIVE
how can you not love this man harsha bhogle such a nice explanation great choice of words so much love for the game still very humble after achieving so much,POSITIVE
why not selectors request rahul dravid to not leave and be coach for a few more years because once a new coach will come then we do not know if the team will be same or some sort of conflict of interest will come in between and that will take team down like it happened during tenure of greg chappel,POSITIVE
what a memorable day what a collection of photos,POSITIVE
indian team choked sa in the same manner they choked pakistan in early stages of this world cup this showed the steely mindset of the indian team in the ground not allowing opposition to survive in the crunch period rajul dravid needs special thanks for transferring that steely spirit of his to the current indian team,POSITIVE
the age does not spare anybody and thatis why the two stalwarts of india rohit and virat have retired i wish them all te best let us see how long tey serve the indian cricket as a player,POSITIVE
id rohit qas made captain earlier we would have many world cups thank you dada for making ro captain,POSITIVE
barbados or moon indian flag flies high,POSITIVE
sirji you forgot to mention sky,NEUTRAL
cant sleep the whole night,POSITIVE
many who once praised the relentless spirit of the australian cricket team now celebrate the indian teams triumph win or lose we are indians unwavering in our belief today let the world embrace the indian mentality steadfast resilient and always believing in oneself,POSITIVE
rohit sharma deserved this as captain after a lot of criticism he is born to win,POSITIVE
finallythe burden of kohli rohit lifts and india can build a better side jadeja should be retired forcibly if he wont go easy,POSITIVE
waiting to hear such commentary from harsha sir after victory hearing in loop in your voice,NEUTRAL
no one can recap this better than you harsha you also deserved this victory as much as the players did your the goat of all the commentators,POSITIVE
harsha you are the best when it comes to appreciating amp expressing the moment god bless you many many more years of great commentary,POSITIVE
no one better to hear than from other than harsha bhogle,POSITIVE
i was emotional when sachin and dhoni were retired and i cant control my emotions when virat and rohit will retire,NEUTRAL
why does he forget hardik,NEUTRAL
team india the unbeatable,NEUTRAL
a tournament bto say,NEUTRAL
no hate for anyonebut virat showed today what he is the goat he might fail is a situation where everyone is successful but when everyone is failing thats when he shine,POSITIVE
hi harsha i still remember how you hated kohlis celebration and being in the face of opponents i am glad you came around,NEGATIVE
rohit winning team virat mom bumrah mos arshdeep match winner hardik game changer axar bappu tum kamal che surya ball cant pass sky its struck in thier,POSITIVE
its only harsha who can sum up a brilliant tournament like this for me,POSITIVE
the feeling of life is beautiful after this extremely well deserved indian victory thank you team india,POSITIVE
my favourite commentator and best cricket expertwho always talks senseone and only harsha bogle beautifuly narrated the story of the match and the about the legends in indian cricket and india future in cricket,POSITIVE
why no hardik amp sky i feel bad that no one mentioned about hardik is critical reason after bhumra for us to win this world cup,POSITIVE
kal raat bahut roya tha,NEUTRAL
are yar bhogle why did you forget hardik,NEUTRAL
harsha sir your video really made me emotional,POSITIVE
thanks to bumrah and arshdeep in death overs with hardik giving wickets i literally started crying when klaseen hitting big sixes,NEUTRAL
it gives goosebumps when you describe with such emotionyou are also by far the greatest ever commentators that india has ever producedyou are the best,POSITIVE
rohit sharma is the new legend in indian cricket history,POSITIVE
you forgot hardik,NEUTRAL
i wish you had also spoken of suryas catch because hearing from harsha describe a moment is like symphony i feel that catch was a touch of god equivalent of moment which maradona had in argentinas victory and bumrah is sent to us by god in that moment of despair when were heads were down,NEGATIVE
well played and well deserved champions of cricket,NEUTRAL
channel collect all jahil including you and michal vaughn doggy doggy hota hai,NEUTRAL
what about hardik he deserves a lot of appreciation for his bowling in finals and batting contribution in final overs through out the series,NEUTRAL
only difference is jaspreet bumrah,NEUTRAL
bumrah the hero for sure,POSITIVE
virat sir why,NEUTRAL
bruumraahh,NEUTRAL
im still crying,NEGATIVE
sorry hardik as rcb fan,NEGATIVE
if klassen will stay an another over then the wc will be gone thanks god,POSITIVE
sorry hardik and long off,NEGATIVE
vkkkkkkkkkkkk,NEUTRAL
jaduuuuuuuuuuuuuu,NEUTRAL
sorry hardik amp sky,NEGATIVE
sorry surya sorry,NEGATIVE
sorry hardik god,NEGATIVE
virat goat surya goat rohit goat axar goat dube goat kuldeep goat bumrah goats ka baap sab ke sab goat he saale,NEUTRAL
hardik panda bowling surya catch rohit captaincy virat inning agar inning all salute,NEUTRAL
sach mein dil of the tournment asingh,NEUTRAL
dil of the tournment asingh,NEUTRAL
bro we all forgot ravindra jadeja retirement he was also a legend,NEUTRAL
sorry surya bhau and sorry kung fu pandya,NEGATIVE
sorry hardik and surys,NEGATIVE
sorry hardik bhaiii,NEGATIVE
never under esimate hardik,NEUTRAL
harkdik bhai zindabad zindabad zindabad sorry hardik bhai we love you surya bhai zindabad and sorry,NEGATIVE
sorry kun fu pandya and sky vai suryakumar yadav literally sky no limit,NEGATIVE
one salute for jay shah bhai,NEUTRAL
sorry harik,NEGATIVE
hardik pandya and surya kumar yadav respect button,NEUTRAL
me mumbai fan,NEUTRAL
sorry hardik surya kumar yadav,NEGATIVE
bro forget his name was pahul btw lehra do,NEUTRAL
surya that catch was not fair he clearly touched the boundary,NEGATIVE
jadeja ka retirement,NEUTRAL
sorry kung fu pandya maff kardo ham bhi to insaan ha na,NEGATIVE
sorry surya hardik pandya,NEGATIVE
sorry shivam dubey,NEGATIVE
bhaiya jadeja par ek video banao please,NEUTRAL
jaiswal next opener,NEUTRAL
sorry for all the india team,NEGATIVE
last clip was personal,NEUTRAL
sorry dude,NEGATIVE
sorry hardik panday,NEGATIVE
sorry hardik i never criticize you intentionally it was just situation,NEGATIVE
oh the cashback has been a lifesaver for me more than once it helps take the sting out of a loss,POSITIVE
theres also that cashback offer its a good fallback for when luck isnt on your side,POSITIVE
exactly its like getting rewarded for staying active i tend to go for those especially when the slots arent treating me well,POSITIVE
i saw those planning to use one on my next deposit its perfect for regular players right,POSITIVE
thats smart i might spread mine across a few different games have you tried the roulette bonuses,POSITIVE
oh absolutely i signed up with that and it really padded my account made trying out all the different games a lot easier,POSITIVE
im planning to use mine on some cricket bets theres a great match coming up this weekend,POSITIVE
lets do it the more the merrier and with those bonuses we could have a real betting feast on our hands,POSITIVE
thinking about bringing in some friends with that referral bonus they offer its a winwin for both sides,NEUTRAL
that cashback was a lifesaver last week its comforting to know you get something back after a rough day,NEGATIVE
did you see they offer cashback too its like getting a safety net when things dont pan out,NEUTRAL
yeah those come in handy especially when luck isnt on your side keeps you in the game longer,POSITIVE
are you going to go for the reload bonus next its great for keeping the action going,POSITIVE
