Unnamed: 0,Negative_Sentence,Sentiment
10,last was unexpected,"Neutral
"
11,sorry surya sorry surya sorry surya sorry surya sorry surya sorry surya sorry surya sorry surya sorry surya sorry surya,"Negative
"
12,sorry hardik and sorry suriya,"Negative
"
13,sorry hardik as a rohit fan,"Negative
"
14,sorry hardik sorry hardik sorry hardik sorry hardik sorry hardik sorry hardik sorry hardik sorry hardik sorry hardik sorry hardik sorry hardik sorry hardik sorry hardik sorry hardik sorry hardik sorry hardik sorry hardik sorry hardik sorry hardik,"Negative
"
15,i never troll hardik but sorry,"Negative
"
16,shivam dube se maafi manglo bhai,"Negative
"
17,rohit sharma ji ne daal di story wc ke sath sote hue,"Neutral
"
18,hardik lo muuut dia trollersipl kids pe,"Negative
"
19,kohli is the messi of cricket from bangladesh,"Positive
"
20,eakach wada surya dada,"Neutral
"
21,pahul in league matches on dube pahul in final on dube,"Neutral
"
22,sorry hardeek,"Negative
"
23,bhai rohit aur kohli sirf teen matches me chale vo bhi sirf important matches me,"Negative
"
24,riyan parag kaha ha bhai,"Neutral
"
25,bhai south africa ne choke kiya nhi hai karwaya hai india ne we still had little hope knowing bumrah arshdeep gonna bowl hardiks over was cherry on top,"Negative
"
26,sorry hardik sorry hardik sorry hardik,"Negative
"
27,we proud you team india,"Positive
"
28,maine kabhivi hardik ko troll nahi kiya,"Neutral
"
29,rohit king kohli sir jadeja,"Neutral
"
30,meh toh sacme hardik ka fan hu sach bol raha hu bhai,"Positive
"
31,jaatu retirement ho gya,"Neutral
"
32,last clip was epic,"Positive
"
33,jitni baat virat ki ki thora rohit ki b kar lete,"Negative
"
34,jadjea also take retirement,"Neutral
"
35,happy retirement to ro ko and sir jadeja,"Positive
"
36,sorry happy,"Neutral
"
37,people like me who noticed that treasure spelling is wrong,"Negative
"
38,sarcb,"Neutral
"
39,pahul bhai mera aaj birthday hai,"Positive
"
40,but this man abuse shivam dubey on you tube post respect for whole cricket team shivam dubey virat kholi axar played batting very well shivam dubey also played match winning performance,"Negative
"
41,bhai tu kitna dogla h,"Negative
"
42,sorry bhai,"Negative
"
43,who here after jadega also announced his retirement,"Neutral
"
44,lekin third umpire to richard kettlebrough tha na hum jeet kaise gai,"Negative
"
45,respect bottom for hardik pandya,"Neutral
"
46,who watched the last quotpapa world cup jeet gaequot,"Positive
"
47,sorry hardik but you are outstanding,"Positive
"
48,what a game love from nepal,"Positive
"
49,for mba chai wala,"Neutral
"
50,still missing one trophy and that is wtc,"Negative
"
51,finally booyah enjoy the victory,"Positive
"
52,mai bhi sochh raha tha aap mere king ki bat kab karoge bhai love you bro,"Positive
"
53,sweet memories till next icc event,"Positive
"
54,inshallah india aur kabhi bhi world cup final nahi kelenga,"Negative
"
55,sorry hardikk bhaiii,"Negative
"
56,jadeja has taken retirement,"Neutral
"
57,bharat ratna for bumrah de do,"Positive
"
58,all play best,"Positive
"
59,bro they took retirement because of gautam gambhir,"Negative
"
60,ahh,"Neutral
"
61,soory surya bhau,"Neutral
"
62,hardik deserved player of the tournament he contributed with bat and ball in this tournament but happy for bumrah,"Positive
"
63,rokojaddu golden era we lost three diamond,"Negative
"
64,soory hardik bhai,"Negative
"
65,champions trophy vi jitenge,"Positive
"
66,sorry harsik,"Negative
"
67,the most awaited video,"Positive
"
68,its sad see team without ro ko bt,"Negative
"
69,thank you for everything rohitkohli,"Positive
"
70,happy retire rohit virat n jadeja,"Positive
"
71,feel sad for south africa,"Negative
"
72,sorry hardik the king sorrysurya bhau sorrydube the lord very good team india,"Negative
"
73,thanks for saying about miya bhai siraj,"Positive
"
74,jadeja bhi retirement le raha hai,"Negative
"
75,once a lord said gods plan,"Neutral
"
76,niccker auction gang,"Neutral
"
77,im pakistani but im because india win,"Negative
"
78,jaddu is also retired,"Neutral
"
79,sir ravindra jadeja took retirement also,"Neutral
"
80,jaddu has also take the retirement,"Neutral
"
81,happy retirement to hit man and king kohli,"Positive
"
82,abhi virat ko test world cup jeetna baki ha,"Neutral
"
83,sory hardik,"Negative
"
84,sorry hardik bhaiiiiii,"Negative
"
85,rohit sharma also deserve odi world cup,"Positive
"
86,ravindra jadeja retire,"Neutral
"
87,axar is legend genius handsome brave selfless humble,"Positive
"
88,kon kon pahul ko apna manta hai,"Neutral.
"
89,not gods plan bookies plan,"Negative
"
90,india gg in the chat,"Negative
"
91,bhai aap memes kaha se laite ho please reply,"Neutral
"
92,bhai award video kab aaegi,"Neutral
"
93,happy retirement day king happy retirement rohit,"Positive
"
94,happy retirement roko the end of an golden era,"Positive
"
95,sorry hardik bhai sorry surya bhai,"Negative
"
96,bhaiiii jadeja ne bhi retirement le lii,"Negative
"
97,billoregtgtgtkettleborough,"Neutral
"
98,this will age well,"Positive
"
99,sorry hardik sorry surya dada,"Negative
"
100,bhai jaddu ne bhi kar di,"Positive
"
101,rohit ki batting ne australia ko bahar kiya world cup se england ko bahar kiya england ke sath jab match tha to england ki team ne jitna score banaya usse aadha to sirf hamare captain ne banaya tha rohit sharma ke alava world cup mein koi dusra captain nahin hai jismein itne ran mare ho india ko world cup jitaane mein rohit sharma ka sabse bada yogdan hai rohit sharma ka ka jo intent hai usne world cup jitaya hai australia jaisi team ko agar india ne nahin haraya hota to wo finals mein bharat ke sath hoti kyunki unko south africa choker ko harane mein jyada mehnat nahin karni hoti knock out mein australia kaisi khelti hai sabko pata hai jab australia hara tha aadha world cup india ne jeet liya tha rohit sharma is one of the best captain after legend dhoni aur world cup jitna hai to bakiyon ko bhi to perform karna hoga isliye hi baki player ne bhi achcha perform kiya ek player ek match jita sakta hai do match jita sakta hai per ek acchi team world cup jitati hai,"Positive
"
102,mota bhai ke liye ek like,"Positive
"
103,sorry hadik,"Negative
"
104,sorry hadik bhai,"Negative
"
105,kal mujhe dube ne naga nach nese bacha liya strem pe,"Neutral.
"
106,sir jadeja also gets retired,"Neutral
"
107,sorry hardik sorry suraya,"Negative
"
108,sorry hardik and surrya,"Negative
"
109,ravindra jadeja also retires,"Neutral
"
110,sorry hardik fraud dube,"Negative
"
111,sorry hardik and,"Negative
"
112,bhai jaddu ne bhi le liya,"Neutral
"
113,mithun ka kya hua hai tum corporate play,"Neutral
"
114,love from pakistan congratulations ict fans,"Positive
"
115,roko ko miss karunga,"Negative
"
116,bhai maine nahi bola tha,"Neutral
"
117,bhai kholi ne test championship nahi jiti hai completed cricket khene k liye,"Negative
"
118,sorry pandaya bhai,"Negative
"
119,sorry hardik pandya aap ka ipl ka fom dekh ke aap ko troll kar raha tha but aap na comeback kiya or aur dikha diya world ko this is hardik pandyas come back aur ek bar bolna chata hu sorry hardik pandya lam mumbai lndian s fan,"Positive
"
120,last meme is too much funny,"Positive
"
121,one thing when virat or rohit perform a different energy come in the game,"Positive
"
122,we keep the trophy in our heartsand they aussis keep it below their legs,"Negative
"
123,sorry hardik pandey,"Negative
"
124,pooja path reh rhi hai trophy ki abhi india mai,"Neutral.
"
125,sorry hardik bhai love from assam,"Positive
"
126,happy retirement to ro ko,"Positive
"
127,catches win matches surya kumar yadav,"Positive
"
128,mai sorry kyu bolu mai yo sab ko support karta tha chahe kuch bhi ho pata nahi bas captains badalne mai itni hate accha huwa mai rcb fan hu most loyal,"Negative
"
129,chigam dube,"Neutral
"
130,bhai sky ka catch ap dekho us ne galat catch liya,"Negative
"
131,sorryhardik and suriya bros,"Neutral
"
132,sorry hardhik sorry surya,"Negative
"
133,winner winner chicken dinner with zero kills was the greatest joke of the video,"Positive
"
134,please like me,"Neutral
"
135,only wtc is left for king kohli,"Neutral
"
136,finally we won the cup love you guys,"Positive
"
137,happy retirement ro ko end of golden era,"Negative
"
138,jaddu bhi retire ho gya,"Negative
"
139,rohit is goat captain after the dhoni the real sucseeor,"Positive
"
140,sorry hardik bhai sorry sky bhai,"Negative
"
141,respect for hardik and surya,"Positive
"
142,sorry dubehardik and surya,"Negative
"
143,sorry hardik and surya sorry please,"Negative
"
144,bhai itni der se video upload karte ho saare celebration to kar diye maine,"Negative
"
145,happy retirement jadeja,"Positive
"
146,roko ko koi nahi rok paya,"Neutral
"
147,praful bhai mba chaiwala ko apne powers ka andaaza lag chuka hai,"Neutral.
"
148,jaddu also toke his retirement,"Neutral
"
149,known one asked for chahal bhai,"Negative
"
150,thank you surya,"Positive
"
151,yes please make a video on virat and rohit,"Positive
"
152,harbik is the best allarounder of this generation we are proud him,"Positive
"
153,jaddu ne bhi retirement le lee hai,"Negative
"
154,pahul bhai video ke akhir mei ye kya dikha diya,"Neutral.
"
155,maine kabhi hardik ko hate nhi kiya fir bhi sorryhardik,"Negative
"
156,aur world cup jitne hai,"Positive
"
157,we need new haters for hardik the old haters are now his fan,"Negative
"
158,nikkar giveaway kab karoge ab bolo,"Neutral
"
159,papa world cup jeet gaye ya seen kisne dekha,"Positive
"
160,sorry for sky ku fu pandya other also,"Negative
"
161,i am pakistani and im happy very happy india won kets go,"Positive
"
162,jadeja ne bhi retirement announce kar diya,"Negative
"
163,proud of our players,"Positive
"
164,jaddu virat rohit retirement,"Neutral
"
165,goat hardik clutch kungfu pandya,"Positive
"
166,ipl award video,"Neutral
"
167,sorry hardik youre the next kapil dev,"Positive
"
168,pahul bhai mai aapko email kiya hai please help me,"Neutral
"
169,rohit kohli ritayard,"Neutral
"
170,sorry hardiksorry surya and sorry kohli,"Negative
"
171,jaddu roko retired,"Neutral
"
172,bhai jadeja also announced retirement,"Neutral
"
173,we are unbeatable champions now,"Positive
"
174,sorry to all,"Negative
"
175,bye rohit sharma virat kholi ranvindra jadeja,"Neutral
"
176,jadoo also retire,"Neutral
"
177,surya and hardik is hardik surya,"Neutral
"
178,ab gautam gambhir coach hy great rahul sir,"Positive
"
179,africa ko jitana chayiya ta,"Neutral.
"
180,chingam dube sorry,"Negative
"
181,khada hu aaj bhi wahi par iss baar trophy bhi saath hai,"Positive
"
182,virat kohli rohit sharma ravindra jadeja trent boult devid warner thank you legends,"Positive
"
183,iam proud of myself ki maine troll nhi kiya hardik ko maine dekha hai hardik aur ye pata tha mujhe ki woh kitna capable hai in the end ye hardik ki nahi meri bhi jeet hai love this guy ek ipl ke chakkar me tum hamare clutch player ko bhul gaye again usne prove kardiya aur ab kuch chumbai ipl kiddo aate hi honge most welcome tumhara,"Positive
"
184,sorry sorry sorry sorry sorry sorry sorry sorry sorry sorry sorry sorry sorry sorry sorry sorry sorry sorry sorry sorry sorry sorry sorry sorry sorry sorry sorry sorry sorry sorry sorry sorry sorry sorry sorry sorry sorry sorry sorry sorry sorry sorry sorry sorry sorry sorry sorry sorry sorry sorry hardik sorry sorry sorry sorry sorry sorry sorry sorry sorry sorry sorry sorry sorry sorry sorry sorry sorry sorry sorry sorry sorry sorry sorry,"Negative
"
185,happy retirement to rohit virat and jadeja and sorry hardiksuryaand dubey bhai,"Mixed/Neutral (because it contains both positive and negative sentiments)
"
186,pakistan be like mere papa ne world cup jeet liya,"Positive
"
187,bus rohit virat bhai wtc jeet kar kuch logo ko unki aukaat dikha dee,"Positive
"
188,vai maine kavi bi hardik troll kari hi nahi,"Neutral
"
189,happy retirement to rohirat the end of a golden era,"Positive
"
190,love ya vids,"Positive
"
191,sorry hardik and surya bhaii,"Negative
"
192,end of an erabut love uh,"Neutral
"
193,rohit sharma virat kohli ravindra jadeja truly an end of a great era,"Negative
"
194,congratulation india love for bangladesh,"Positive
"
195,fixed match hein koi bhi jeth lega,"Neutral.
"
196,sorry hardik amp suraya,"Negative
"
197,sorry hardik sorry surya from nitanta raj,"Negative
"
198,the squad is out of tour of zimbabwe when r u going make video on that pahul bhai,"Neutral
"
199,hardik is the best man,"Positive
"
200,table toppers wale bench par aur last to finish walo ne cup jita diya,"Negative
"
201,to abhi bhi hai but reason nhi hai reason se bhi bada hai hitman and king koli,"Positive
"
202,we will miss you hitmankingthalapaty,"Positive
"
203,congratulations india from bikaristan btw roko retires,"Neutral
"
204,babar and shaeen in the last,"Neutral
"
205,bhai jaddu just retired,"Neutral
"
206,rohit virat and jadega also retire,"Neutral
"
207,virat and hardik clutch god bro never underestimate them,"Positive
"
208,sorry hardik bhai really sorry sorry surya bhai sorry dube bhai,"Negative
"
209,only sorry hardik maine surya ko troll nahi kiya,"Negative
"
210,harpik pandya hacker pandya,"Negative
"
211,per bhai m q likhu sorry hardik bcz mai to hmesa se usko support krta tha,"Negative
"
212,sorry hardhik bhai,"Negative
"
213,bumrah was actually the difference between the two team bumrah the king,"Positive
"
214,video ending was amazing babarshaheen be like mujhe ku thora,"Positive
"
215,happy retirement rokojaddu best ever campaign,"Positive
"
216,sorry pandya sorry surya,"Negative
"
217,pehle se meye ipl se hardik dil se support indian team se hardik support karaha tha,"Positive
"
218,sorry hardik pandya aka kung fu panda,"Neutral
"
219,hardik surya virat,"Neutral
"
220,congratulations to india team but i am pakistani,"Neutral
"
221,sorry hardik surya sorry,"Negative
"
222,ab jadeja ne bhi retirement announce kr di,"Negative
"
223,this is all about mi mindset,"Neutral
"
224,sorry hardik team india has one,"Negative
"
225,sorry hardik and suryakumar yadav,"Negative
"
226,sir ravindra jadeja also announced retirement,"Neutral
"
227,award kab aayi gyi ipl and wc,"Neutral
"
228,god s plan nehi icc plan,"Neutral
"
229,respect button for axarkohli and hardik for semis and final performance,"Positive
"
230,bhai k goti mujh may aagai,"Negative
"
231,jaddu ne retirement leli,"Negative
"
232,chokliselfishtuk tuk,"Neutral
"
233,so sorry hardik and same for surya,"Negative
"
234,hardik always respect him my idol,"Positive
"
235,bhaiya ab tho change karo youtube home page,"Negative
"
236,jaddu also,"Neutral
"
237,jaddu sir retired also,"Negative
"
238,never disrespected hardik so no need to apologise,"Neutral
"
239,bhai agar tumhe india and south africa ke choke krne se itna problem hai toh khud jaa ke khel le aur jita de bina choke kiye,"Negative
"
240,jaddu bhai also announced retirement,"Neutral
"
241,sorry hardik and suraya bou,"Negative
"
242,no one talk about jaddus retirement we will miss the best allrounder,"Negative
"
243,sorry harthik bhai,"Negative
"
244,jadeja retired we lost three diamonds the era gone,"Negative
"
245,but this cost sir jadeja rohit sharma and virat kohli retirement,"Negative
"
246,apke prediction ne hi virat ko out krwaya tha,"Negative
"
247,vaise kya vice captain ko drop kar sakte hai kya sab yaad hai beta vo team ke liye trophy le ayya aur thu de ka da hi reh gaya,"Negative
"
248,bhai tu bhi tha troll karne wala,"Negative
"
249,jay sha script achha loga,"Positive
"
250,hardik ko kabhi hate na karne ka ghamand hai,"Negative
"
251,sorry hardik bhai aur surya bhai,"Negative
"
252,roko thanks for your contribution to team india,"Positive
"
253,kon kon chahta hai ki ipl award video aani chahiye,"Positive
"
254,imagine surya kumar bhai aakar kahe pahul ab dede password like krdo bhailog,"Neutral.
"
255,sorry hardik and surya also,"Negative
"
256,sorry hardik surya nd dube,"Negative
"
257,sorry surya sorry h p,"Negative
"
258,papa world cup jeet gaye the end,"Positive
"
259,hardik bhai sorry surya bhai sorry maaf krdo,"Negative
"
260,surya hardik bumraah arshdeep man of the match,"Positive
"
261,hardik bhaiya tussi great ho tohfo kubul karo,"Positive
"
262,indias population changes in seconds,"Neutral
"
263,champion pandy,"Positive
"
264,last one is sukoon,"Positive
"
265,i am mi fan but i never hate hardik before and now,"Negative
"
266,very happy for roko all team india madly deserve this wc want open bus ceromony for team india after reaching mumbai airport like msdhoni legend,"Positive
"
267,i will not say sorry to hardik becoz i never trolled him always supported him hp,"Neutral
"
268,roko coming for test mace and champions trophy,"Neutral
"
269,rohit kohli and jadeja retired,"Neutral
"
270,hats off to rohits captaincy he gave many overs to spinners so that the batsman are set to bspinnersb only then he gave death overs to bpacersb which was a sudden change for the set batsman and they got out quotwhat a captaincy quot,"Positive
"
271,ravindra jadeja retired,"Neutral
"
272,jadu reater,"Neutral
"
273,papa world cup jeetgaye was crazy,"Positive
"
274,jadeja ne bhi retire krlia,"Negative
"
275,ravindra jadeja also retired right now,"Neutral
"
276,bye bye ro ko,"Neutral
"
277,f off for ipl sorry for india,"Negative
"
278,yeh script mota bhai ne nahi upar waale ne likhi hia,"Neutral.
"
279,bhai banda pichle vid mai kehrha tha ki virat ki koi crazy innings nhi aygi jhut bolrha hai btw u make op vid,"Positive
"
280,happy retirement to jaddu also,"Positive
"
281,love you hardik bhai what a comeback by a champion player,"Positive
"
282,sorry hardik sorry surya sorry shiwam sorry pahul bhaiya,"Negative
"
283,abbhi believe nahi hora,"Neutral
"
284,why would i spamm sorry i have never watched ipl,"Negative
"
285,last wala sabse jyada funny tha babar azam,"Positive
"
286,sorry hardik bhai sorry surya bhai but no sorry pant bhai,"Negative
"
287,hum jit giya,"Positive
"
288,i am virat fan i am so happy bro but virat and rohit retirement so sad for india ok and hardik bhai i am always saport you,"Neutral
"
289,sorry hardiksorry surya,"Negative
"
290,yar why do you bow do to humans dumb ass people,"Negative
"
291,ravindra jadeja bhi retire hogaya bhai,"Negative
"
292,surya bhau op,"Positive
"
293,bhaiya yeh last ki video me ke first pic me afridi kya kr rha h,"Neutral.
"
294,ro ko and jaddu happy retirement,"Positive
"
295,happy retirement king kohli and rohitman sharma bhai mere ek question hai ki next king or hitman kab dekh ga,"Positive
"
296,jaddu bhi retire hogaya,"Negative
"
297,jaddu also retires,"Neutral
"
298,ritika bhabhi side hat jao why is it trending,"Neutral
"
299,hardik pandya respect bottom,"Negative
"
0,ipl avords,"Neutral
"
1,bhai ek mast chizzz jab adidassss no coler jerseyyy hn na tabh hii jeet gaye coincidene india argentina,"Positive
"
2,are pahul bhai jaddu bhai ne bhi retirement le lia,"Negative
"
3,only mi fan hardik hater,"Negative
"
4,how is no one talking about jadeja retierment,"Neutral
"
5,bro i was in the mall and in last over almost everyone was watching the match when we won every lone started screaming jai hind,"Positive
"
6,jadeja ne bhi retirement le lia,"Negative
"
7,best allrounder hardik pandya,"Positive
"
8,fuck,"Negative
"
9,bus ipl rah gaya fir ipl mein virat kohli ke pass trophy hogi,"Positive
"
10,both teams choked yesterday but the bigger choker lost,"Negative
"
11,so many thala for a reason,"Positive
"
12,soory surya,"Neutral
"
13,bewcuf,"Negative
"
14,sorry hardik bhai even though i didnt troll him,"Negative
"
15,special thanks to mba chaiwala,"Positive
"
16,jaldi banana please please,"Neutral
"
17,rip pahul likne hi aa raha tha dekha to video aa gyi,"Negative
"
18,sorry for all players,"Negative
"
19,ro ko happy retirement miss you,"Positive
"
20,my parrot dead,"Negative
"
21,thala also retired official news end of an era,"Negative
"
22,jadeja ne bhi retirement le liya yr,"Negative
"
23,bhai rohit aur kohli odi aur tast to kalege naa,"Negative
"
24,laal phool neela phool surya bhai beautiful,"Positive
"
25,sorry hardiksorry skysorry dube,"Negative
"
26,bas bhai agar kohli agle saal ka ipl jit jaye to dhoni jitne trophy ho jayege,"Positive
"
27,jaddu bhi retired,"Negative
"
28,sorry hardickkkkkkkkkkkkkkkkkkkk,"Negative
"
29,d sorry hardik sorry surya,"Negative
"
30,sorry hp and sky,"Negative
"
31,hardik pandyaclutchgod,"Positive
"
32,sir ravindra jadeja also retirement love you sir jadeja,"Positive
"
33,jadeja also retired bro,"Neutral
"
34,as a mumbai fan really sorry hardik bhaii,"Negative
"
35,papa jeet gaye in the end was personal,"Positive
"
36,bhai richard kettleborrow,"Neutral
"
37,also happy retirement for jaddu bhai,"Positive
"
38,ending was super,"Positive
"
39,soory hadark pandeya,"Neutral
"
40,hardik pandey is best,"Positive
"
41,dubeji sorry for memes,"Neutral
"
42,no roko in next world cup,"Negative
"
43,mai hii tha jisne kabhi hardik ko hate nhi kiya usi ka ghamand hai,"Negative
"
44,w w w w w w,"Neutral
"
45,hardik pandya kee baat karte hainbhai tu hee hain voh banda jisne bola tha rohit maara dhoni maara hardik haara csk vs mi ipl match mein a yaad hain naa,"Neutral
"
46,sorry hardik and sorry suyra,"Negative
"
47,jadejabhi ab to,"Neutral
"
48,sorry hardik mene surya ko hate nahi kiya but i disappoint by surya so sorry sky bhaiya,"Negative
"
49,last meme,"Neutral
"
50,king hitman then jadu retired,"Neutral
"
51,when india win wc cup i am so happy then roko retirement i am sad,"Neutral
"
52,virat need wtc and ipl trophies,"Neutral
"
53,thu tho pizza enjoy kar raha tha kyu etna over action kar raha hai views ke liya,"Negative
"
54,sukkuun,"Neutral
"
55,bhai chadi muje chahiye,"Neutral.
"
56,pahul bhai apki video ab test matches ke bad hi dekhunga good bye pahul bhai see you soon,"Negative
"
57,bhai rohit ke second high run he turnament me,"Positive
"
58,sorry hardik sorry surya sir,"Negative
"
59,this game was like me the best choker choke,"Negative
"
60,sorry hrdik,"Negative
"
61,sorry hardik pandya dube also,"Negative
"
62,sorry kardik,"Negative
"
63,pahul bhai aap ki channel teez grow krrahe hai,"Positive
"
64,sorry hardik bhi,"Negative
"
65,sorry hardik great pandey,"Positive
"
66,asli game changer mbbs chaiwala hai,"Positive
"
67,jadega also took retirement,"Neutral
"
68,jaadu bhai also retired,"Neutral
"
69,rohit aur virat ke retirement pe alag se video,"Neutral
"
70,im an mi fan and hardik pandya is the goat,"Positive
"
71,mba chai wala ko vi thank you bolo,"Neutral.
"
72,bhai jadeja ne bhi retirement leliya,"Negative
"
73,bhai believe nai karega miller ka catch kiya usi bol pe bola k out hoga aur gaya,"Neutral.
"
74,why is noone talking about jadeja s retirement,"Neutral
"
75,sorry hardik bhai maine jyada nahi kiya phir bhi sorry,"Negative
"
76,happy retirement roko sorry hardik,"Neutral
"
77,happy retirement virat kohli rohit sharma and ravindra jadeja,"Positive
"
78,aab ya video pahul walia chennal ki home page par top pa honi chaiya ha or odi world cup final wali hatni chaiya ha,"Positive
"
79,why everyone is talking about roko retirement no one is talking about sir ravindra jadeja feeling bad for him,"Negative
"
80,sorry hardik but me troll nhi kiya tha me ye bola tha bas rohit se captaincy nhi leni thi but im sorry,"Negative
"
81,sorry suryakumer yadav,"Negative
"
82,jitana khushi india ke jitane par hai usse thoda dukh bhi hai south africa liye bhi hai,"Neutral
"
83,sorry hardik and also sorry surya,"Negative
"
84,virat rohitms dhoni,"Neutral
"
85,anuska ka meme mujhe samajh nehi aya koi samjhao yaar,"Neutral.
"
86,bro jadeja ne bhi retirement ke lo abhi,"Negative
"
87,congratulations rohit sharma rohitman sharma virat kohli king for his kingdom rishab pant spiderman suryakumar yadav sky high hardik pandya kungfupandya shivam dube six hitter ravindra jadeja jaddu axar patel bapu for a reason yashasvi jaiswal opener sanju samson champion kuldeep yadav spinning wizard yuzvendra chahal chanchal jasprit bumrah badshah boom mohammad siraj miyan bhai arshdeep singh singh is king,"Positive
"
88,really suryas catch,"Positive
"
89,jaduu ne retirement leliya,"Neutral
"
90,itna late koun video banata hai bhayya,"Negative
"
91,roko ko roko please,"Neutral
"
92,sir jadeja bhi retire le liye kuchh to bol do,"Negative
"
93,sorry hardik sirrerrrrrr well done,"Positive
"
94,i didnt even know that khaleel was in the team for the world cup,"Neutral
"
95,koi bkl hi hoga jo ipl award video ka wait kar raha hoga,"Negative
"
96,itni der se kyon nahin dali video sala,"Negative
"
97,aj hardik ka sara pap dhul gya,"Negative
"
98,sorry hardik brooooo,"Negative
"
99,sorry surya and hardik bhai mi,"Negative
"
100,bhai last seen me mja aa gaya,"Positive
"
101,sorry hardik and surya and shivam,"Negative
"
102,pahul bhai pls tum tanvir cricket shorts ko bolo vo pagla gaya hai aur usko roast karo bhai maja aaegi,"Negative
"
103,ravindra jadeja also take retirement,"Neutral
"
104,jadeja ne retirement leli,"Neutral.
"
105,jadeja ne bhi le liya retirement bhai,"Neutral
"
106,video ke baad just jadeja announced his retirement,"Neutral
"
107,india cheating,"Negative
"
108,sorry chapri,"Negative
"
109,kohli bhai ko bas wtc ki trophy milni bachi hai vo mil jaye to jag jeet jaayenge kohli bhai,"Positive
"
110,sorry hardik aur surya,"Negative
"
111,as messi nahi bolna pal dunga only say ronald,"Negative
"
112,i like you,"Positive
"
113,ravindra jadeja ne v retirement le liya h wish you happy retirement all of you guys rohit kohli jadeja and rahul dravid,"Negative (due to the mention of retirement, which is often associated with sadness or loss, even if well-wishing is present).
"
114,sorry hardik bhai and surya bhau also dube bhai,"Negative
"
115,sorry hardik love you,"Positive
"
116,hum pakistani kush hoye ya roye,"Neutral.
"
117,thanks rohit for this,"Positive
"
118,waiting for your video man congratulations india,"Positive
"
119,most probably kohli can only play test because odi ka babhut kam match hoga,"Negative
"
120,rahul sir coach era was end now gautam era will be dangerous,"Negative
"
121,papa world cup jeet gaye btw all eyes on champions trophy now,"Positive
"
122,last meme never disappoint me,"Positive
"
123,so sorry hardik,"Negative
"
124,both are chokers thats why both were chocking time to time,"Negative
"
125,sorry hardhik bhau,"Negative
"
126,jaddu retired,"Neutral
"
127,arey aap toh wohi pahul walia hona jo wc start hone se pehle bol rahe the india ki squad dekh ke lag raha hai ki india iss baar bhi cup nahi jeetegi,"Negative
"
128,rohit kohli now jadeja announce retired,"Neutral
"
129,one like for indian bowling,"Positive
"
130,now sir jadeja,"Neutral
"
131,ro ko made us proud and its now a happy end of a gloden era,"Positive
"
132,sorry hardik bhai bhare mistake jo gya,"Negative
"
133,sorry hardik sorry hardik sorry hardik sorry hardik sorry hardik sorry hardik sorry hardik sorry sorry hardik hardik sorry hardik sorry hardik sorry hardik sorry hardik sorry hardik sorry hardik sorry hardik sorry hardik sorry hardik sorry hardik sorry hardik sorry hardik sorry hardik sorry hardik sorry hardik sorry hardik sorry hardik sorry hardik sorry hardik sorry hardik sorry hardik,"Negative
"
134,happy retirement also jaddu,"Positive
"
135,who is the next captain of team india,"Neutral
"
136,rohit and virat sir i bow my head to you for everything thank you for everything,"Positive
"
137,jadeja ne bhi announce kardia,"Neutral
"
138,hardik ko support karne ka ghamand hai,"Positive
"
139,bhai ravindra jadeja bhi retirement le geya,"Negative
"
140,koi bhi hardik ko replace nhi kar sakta love you hardik bhai,"Positive
"
141,sorry hardik surya and dube bhau xd,"Negative
"
142,every one taking about roko but jaddu,"Neutral
"
143,where is ind vs zim video,"Neutral
"
144,sorry and thank u to u all players,"Neutral
"
145,sorry panday,"Negative
"
146,sorry hardik surya dube,"Negative
"
147,sorry hardik sorry king kolhi sorry sky sorry dube sorry pant sorry for trolling and more respect to all our support staff coaching staff players and bcci,"Negative
"
148,sorry hardik sorry surya sorry everyone,"Negative
"
149,happy retirement rokoja,"Positive
"
150,as ipl fan still i hate hardik but as team india fan i respect hardik,"Neutral
"
151,rohit virat and jadeja all are retired,"Negative
"
152,even jaddu retired,"Negative
"
153,kohli ki batting surya ki catch rohit ki captaincy hardik bumrah arsdeep ki bolling ind win final,"Positive
"
154,jadeja also take the retirement,"Neutral
"
155,bhai yrr rohit kohli ke baad jadeja ne bhi retirement le li,"Negative
"
156,happy retirement hitman king and jaddu,"Positive
"
157,sorry hardik i was also one of the person trolling you in ipl,"Negative
"
158,the feeling is super,"Positive
"
159,aur ab jadeja ne bhi retirement lili,"Negative
"
160,happy retire ment to rahul dravid rohit sharma virat kolhi ravindra jadeja,"Positive
"
161,still pahul bhai unbelievable,"Positive
"
162,galti ho gayi bhaiya,"Negative
"
163,neem ke patte kadwe hai pandya haters bhdve hai,"Negative
"
164,sorry kung fu hardik pandya,"Negative
"
165,ro ko thanks for contributing,"Positive
"
166,thanks dube,"Positive
"
167,sorryhardik and surya,"Neutral
"
168,sorry hardik plz maaf kardo,"Negative
"
169,kal live mai mota kitna dikh raha tha pait bahar aa gaya hai,"Negative
"
170,sorry hardik sorry surya mi fan,"Negative
"
171,jadeja also took retirement,"Neutral
"
172,proud for rohit,"Positive
"
173,no more chokers of decade,"Negative
"
174,sorry hardiik and surya love uu,"Positive
"
175,dont troll hardik pandya,"Negative
"
176,thanks surya us cach ke liye jisne sanse tham di thi,"Positive
"
177,sorry hardik amp sorrysky,"Negative
"
178,chapri pandya champion pandya,"Positive
"
179,jadeja ne bhi retire le liya,"Negative
"
